A	B
Binding Energy (E)	
eV	Counts / s
298.08	4124.43
297.98	4204.05
297.88	4088.37
297.78	4189.82
297.68	4219.83
297.58	4037.51
297.48	3833.89
297.38	3792.08
297.28	3785.18
297.18	3886.21
297.08	3753.3
296.98	3731.09
296.88	3819.81
296.78	3622.09
296.68	3596.72
296.58	3523.51
296.48	3409.2
296.38	3152.58
296.28	3293.52
296.18	3412.15
296.08	3232.15
295.98	3114.54
295.88	3092.37
295.78	3130.12
295.68	3045.32
295.58	2904.57
295.48	2936.91
295.38	2825.58
295.28	2765.59
295.18	2843.19
295.08	2804.74
294.98	2773.69
294.88	2702.84
294.78	2794.1
294.68	2695.56
294.58	2793.39
294.48	2649.27
294.38	2547.83
294.28	2502.48
294.18	2416.17
294.08	2450.87
293.98	2299.61
293.88	2160.01
293.78	2275.5
293.68	2202.93
293.58	2106.1
293.48	2022.69
293.38	2109.43
293.28	2079.26
293.18	2063.94
293.08	1943.02
292.98	1942.95
292.88	1908.69
292.78	1777.22
292.68	1770.47
292.58	1814.51
292.48	1706.54
292.38	1601.92
292.28	1480.64
292.18	1541.03
292.08	1457.7
291.98	1509.99
291.88	1411.5
291.78	1326.25
291.68	1203.18
291.58	1343.42
291.48	1283.9
291.38	1225.09
291.28	1213.04
291.18	1141.35
291.08	1124.61
290.98	1077.98
290.88	982.993
290.78	1001.71
290.68	1080.33
290.58	1008.28
290.48	898.76
290.38	957.873
290.28	858.163
290.18	873.169
290.08	889.016
289.98	788.205
289.88	751.401
289.78	754.412
289.68	708.854
289.58	722.139
289.48	770.258
289.38	726.24
289.28	637.955
289.18	660.324
289.08	725.99
288.98	803.251
288.88	819.708
288.78	928.581
288.68	1073.91
288.58	1172.75
288.48	1414.92
288.38	1764.11
288.28	2223.87
288.18	2812.12
288.08	3826.42
287.98	4914.86
287.88	6422.42
287.78	8395.1
287.68	10130.6
287.58	12478.7
287.48	14923.3
287.38	16801.5
287.28	18484.8
287.18	19538.7
287.08	19598
286.98	18629.7
286.88	16970.8
286.78	15316
286.68	12878.9
286.58	10387.5
286.48	8195.31
286.38	7008.17
286.28	5530.44
286.18	4841.35
286.08	4698.16
285.98	5063.25
285.88	5674.92
285.78	6955.45
285.68	8441.1
285.58	9907.15
285.48	11766
285.38	13254.4
285.28	14733.5
285.18	16690.3
285.08	18100.7
284.98	19094.1
284.88	20013.7
284.78	20363.1
284.68	20717.5
284.58	22028.5
284.48	23003.5
284.38	24020.3
284.28	25584.4
284.18	27471.7
284.08	29495.1
283.98	32399.8
283.88	34822.9
283.78	37972.4
283.68	40626.9
283.58	43351.7
283.48	44566.1
283.38	46003.7
283.28	45474.4
283.18	44925.8
283.08	43508
282.98	40552.7
282.88	37015.9
282.78	32853.3
282.68	27755
282.58	22956.8
282.48	18289.7
282.38	14049.4
282.28	10493
282.18	7653.75
282.08	5662.73
281.98	3856.09
281.88	2768.34
281.78	2162.17
281.68	1727.61
281.58	1407.27
281.48	1171.21
281.38	999.58
281.28	860.794
281.18	762.595
281.08	696.759
280.98	719.528
280.88	734.934
280.78	684.964
280.68	629.462
280.58	645.028
280.48	580.672
280.38	582.053
280.28	540.886
280.18	508.703
280.08	462.755
279.98	484.914
279.88	466.136
279.78	499.55
279.68	482.273
279.58	429.882
279.48	442.947
279.38	518.818
279.28	493.377
279.18	533.663
279.08	478.611
