A	B
Binding Energy (E)	
eV	Counts / s
545.08	9165.31
544.98	9011.7
544.88	9149.34
544.78	9116.26
544.68	8839.02
544.58	8685.95
544.48	8632.97
544.38	8567.82
544.28	8416.89
544.18	8415.23
544.08	8228.1
543.98	8407.51
543.88	8251.55
543.78	8231.52
543.68	8093.87
543.58	8079.43
543.48	8016.93
543.38	7974.51
543.28	7943.57
543.18	8054.89
543.08	7701.43
542.98	7901.08
542.88	7754.67
542.78	7638.08
542.68	7616.34
542.58	7543.67
542.48	7566.92
542.38	7488.39
542.28	7555.91
542.18	7182.67
542.08	7368.1
541.98	7285.8
541.88	7132.61
541.78	7088.99
541.68	7015.87
541.58	6920.68
541.48	6754.57
541.38	6735.34
541.28	6769.86
541.18	6854.43
541.08	6916.54
540.98	6834.57
540.88	6780.57
540.78	6710.23
540.68	6683.17
540.58	6716.25
540.48	6592.38
540.38	6549.83
540.28	6485.93
540.18	6516.2
540.08	6448.02
539.98	6534.65
539.88	6414.11
539.78	6345.48
539.68	5980.74
539.58	6056.65
539.48	6046.07
539.38	6004.59
539.28	5987.55
539.18	5915.39
539.08	5806.05
538.98	5706.3
538.88	5835.76
538.78	5820.95
538.68	5801.19
538.58	5760.73
538.48	5803.28
538.38	5869.8
538.28	5866.51
538.18	5787.14
538.08	6039.61
537.98	6117.23
537.88	6066.37
537.78	6093.53
537.68	6018.7
537.58	5765.25
537.48	5691.66
537.38	6055.49
537.28	5987.84
537.18	5773.65
537.08	5579.66
536.98	5482.89
536.88	5507.2
536.78	5164.12
536.68	5400.54
536.58	5489.78
536.48	5360.16
536.38	5334.49
536.28	5245.31
536.18	5068.65
536.08	5165.99
535.98	4965.51
535.88	5175.23
535.78	5113.14
535.68	4987.02
535.58	4864.27
535.48	4850.31
535.38	4942.32
535.28	5277.94
535.18	5091.39
535.08	4871.18
534.98	4941.47
534.88	5108.86
534.78	5056.9
534.68	4978.94
534.58	4914.05
534.48	4986.4
534.38	5294.43
534.28	5494.51
534.18	5468.83
534.08	5676.18
533.98	5867.73
533.88	6017.41
533.78	6365.45
533.68	7116.25
533.58	7785.75
533.48	8489.12
533.38	9609.18
533.28	11208.3
533.18	13081.9
533.08	15252.4
532.98	17937.7
532.88	21435.6
532.78	24696.9
532.68	28499.2
532.58	32176.4
532.48	36724.1
532.38	39923.9
532.28	42519.6
532.18	44365.9
532.08	45734.3
531.98	46050.6
531.88	45423.3
531.78	44478.6
531.68	43306.3
531.58	41858
531.48	40176.7
531.38	37888
531.28	37202
531.18	37592.9
531.08	38245.3
530.98	39729.6
530.88	41517.1
530.78	43158.8
530.68	44969.1
530.58	46513.2
530.48	47106.2
530.38	45690.3
530.28	42980.6
530.18	40269
530.08	36024
529.98	32252.5
529.88	27491.3
529.78	22631.9
529.68	19084.9
529.58	15538.6
529.48	12773.3
529.38	10740.5
529.28	8902.14
529.18	7468.54
529.08	6949.09
528.98	6324.35
528.88	6000.42
528.78	5652.93
528.68	5585.05
528.58	5311.52
528.48	5305.37
528.38	5196.61
528.28	5274.28
528.18	5112.38
528.08	5033.15
527.98	4826.44
527.88	4855.67
527.78	5099.61
527.68	4955.96
527.58	4847.74
527.48	4794.47
527.38	4930.72
527.28	4922.52
527.18	4841.55
527.08	4716.72
526.98	4815.88
526.88	4677.3
526.78	4770.59
526.68	4671.12
526.58	4614.02
526.48	4566.85
526.38	4455.29
526.28	4519.85
526.18	4682.62
526.08	4753.85
525.98	4513.88
525.88	4625.9
525.78	4506.15
525.68	4509.01
525.58	4648.98
525.48	4611.75
525.38	4555.94
525.28	4580.56
525.18	4584.16
525.08	4467.82
