A	B
Binding Energy (E)	
eV	Counts / s
110.08	471.183
109.98	489.001
109.88	442.172
109.78	456.838
109.68	486.425
109.58	480.537
109.48	481.973
109.38	475.115
109.28	445.353
109.18	441.742
109.08	504.557
108.98	473.324
108.88	465.581
108.78	499.335
108.68	460.614
108.58	473.134
108.48	454.927
108.38	459.454
108.28	444.188
108.18	447.564
108.08	458.558
107.98	466.662
107.88	478.141
107.78	459.909
107.68	450.535
107.58	475.925
107.48	484.399
107.38	447.899
107.28	428.736
107.18	435.839
107.08	482.848
106.98	480.627
106.88	463.971
106.78	437.14
106.68	475.665
106.58	473.194
106.48	470.618
106.38	440.556
106.28	469.818
106.18	502.061
106.08	486.795
105.98	435.234
105.88	437.965
105.78	458.964
105.68	472.599
105.58	492.527
105.48	505.712
105.38	465.781
105.28	480.232
105.18	480.827
105.08	460.094
104.98	457.693
104.88	439.666
104.78	463.535
104.68	446.999
104.58	434.594
104.48	441.652
104.38	436.86
104.28	438.39
104.18	461.219
104.08	476.851
103.98	480.807
103.88	482.048
103.78	435.379
103.68	443.152
103.58	479.507
103.48	482.183
103.38	479.907
103.28	469.158
103.18	488.325
103.08	520.648
102.98	476.306
102.88	464.751
102.78	447.729
102.68	421.704
102.58	459.879
102.48	448.87
102.38	445.143
102.28	483.543
102.18	441.297
102.08	459.229
101.98	499.575
101.88	456.217
101.78	463.871
101.68	472.104
101.58	463.46
101.48	457.373
101.38	471.068
101.28	472.914
101.18	514.741
101.08	521.829
100.98	470.798
100.88	496.324
100.78	446.739
100.68	406.092
100.58	445.308
100.48	452.496
100.38	483.063
100.28	489.136
100.18	487.66
100.08	486.219
99.98	427.146
99.88	455.812
99.78	473.099
99.68	514.891
99.58	491.507
99.48	504.777
99.38	449.875
99.28	459.129
99.18	467.012
99.08	484.844
98.98	482.353
98.88	414.636
98.78	449.215
98.68	448.945
98.58	450.255
98.48	418.808
98.38	451.551
98.28	471.404
98.18	474.345
98.08	439.221
97.98	432.763
97.88	431.258
97.78	474.92
97.68	495.803
97.58	468.923
97.48	402.521
97.38	451.401
97.28	478.451
97.18	501.01
97.08	472.564
96.98	495.438
96.88	458.353
96.78	438.53
96.68	421.574
96.58	453.947
96.48	492.702
96.38	481.368
96.28	493.647
96.18	494.703
96.08	494.878
95.98	436.87
95.88	471.654
95.78	500.875
95.68	492.012
95.58	474.99
95.48	443.377
95.38	467.417
95.28	436.46
95.18	437.01
95.08	475.345
