A	B
Binding Energy (E)	
eV	Counts / s
298.08	4350.24
297.98	4272.63
297.88	4247.72
297.78	4115.72
297.68	3947.78
297.58	4014.93
297.48	4086.07
297.38	3862.48
297.28	3830.3
297.18	3884.21
297.08	3960.49
296.98	3892.16
296.88	3722.55
296.78	3699.13
296.68	3629.31
296.58	3476.77
296.48	3499.45
296.38	3408.61
296.28	3429.62
296.18	3298.29
296.08	3183.97
295.98	3250.56
295.88	3255.91
295.78	3123.35
295.68	3148.06
295.58	3048.98
295.48	2940.82
295.38	2935.25
295.28	2861.7
295.18	2820.75
295.08	2949.33
294.98	2864.57
294.88	2868.34
294.78	2723.23
294.68	2777.21
294.58	2685.94
294.48	2499.76
294.38	2537.23
294.28	2503.43
294.18	2475.04
294.08	2383.47
293.98	2280.36
293.88	2252.32
293.78	2303.62
293.68	2197.68
293.58	2104.13
293.48	2119.91
293.38	1968.8
293.28	2003.02
293.18	1911.86
293.08	1850.38
292.98	1857.13
292.88	1841.34
292.78	1816.95
292.68	1689.47
292.58	1701.98
292.48	1596.77
292.38	1584.75
292.28	1534.96
292.18	1475.61
292.08	1452.14
291.98	1414.65
291.88	1395.6
291.78	1391.92
291.68	1356.01
291.58	1278.54
291.48	1132.55
291.38	1190.51
291.28	1047.68
291.18	1007.58
291.08	1112.36
290.98	1054.63
290.88	956.533
290.78	1023.56
290.68	1007.31
290.58	1043.51
290.48	961.435
290.38	922.239
290.28	879.882
290.18	852.891
290.08	849.73
289.98	812.675
289.88	800.32
289.78	777.231
289.68	765.976
289.58	781.723
289.48	748.319
289.38	771.078
289.28	660.104
289.18	715.506
289.08	705.132
288.98	772.489
288.88	855.232
288.78	821.809
288.68	821.118
288.58	984.664
288.48	1048.28
288.38	1286.62
288.28	1670.84
288.18	2144.94
288.08	3015.14
287.98	3885.58
287.88	5032.98
287.78	6703.7
287.68	8700.93
287.58	10332.2
287.48	12099.5
287.38	14369.3
287.28	15868
287.18	16571.2
287.08	16745.2
286.98	16453.8
286.88	14629.7
286.78	12708.3
286.68	10755.5
286.58	8760.11
286.48	6965.52
286.38	5571.31
286.28	4406.98
286.18	3890.89
286.08	3758.56
285.98	4002.32
285.88	4399.59
285.78	5475.35
285.68	6474.2
285.58	7909.19
285.48	9687.02
285.38	11137.3
285.28	12771.2
285.18	14175.8
285.08	15020.2
284.98	16406.2
284.88	17326
284.78	17675.5
284.68	18467.8
284.58	18653.2
284.48	19209.7
284.38	20065.4
284.28	21553.6
284.18	23549.4
284.08	25485.9
283.98	27796.8
283.88	30580
283.78	33486.9
283.68	35985.8
283.58	38398.1
283.48	39904.1
283.38	41304.1
283.28	42820.2
283.18	42793.3
283.08	41366.2
282.98	40464.1
282.88	38329.2
282.78	34223
282.68	30899.5
282.58	26596.1
282.48	22031.9
282.38	18053.4
282.28	14351
282.18	11556.8
282.08	8867.07
281.98	6542.45
281.88	4995.56
281.78	3789.74
281.68	2856.67
281.58	2210.17
281.48	1639.33
281.38	1373.04
281.28	1091.74
281.18	940.256
281.08	907.093
280.98	761.074
280.88	715.016
280.78	717.397
280.68	682.193
280.58	623.529
280.48	620.498
280.38	567.807
280.28	512.295
280.18	558.073
280.08	510.494
279.98	580.682
279.88	574.71
279.78	500.56
279.68	528.441
279.58	499.83
279.48	470.608
279.38	538.575
279.28	475.26
279.18	451.531
279.08	439.756
