A	B
Binding Energy (E)	
eV	Counts / s
545.08	9248.67
544.98	9035.86
544.88	8931.14
544.78	8915.72
544.68	8690.45
544.58	8633.3
544.48	8713.84
544.38	8655.06
544.28	8705.17
544.18	8440.73
544.08	8367.15
543.98	8424.37
543.88	8499.62
543.78	8228.65
543.68	8306.55
543.58	8222.78
543.48	7984.77
543.38	8076.62
543.28	7994.89
543.18	7753.24
543.08	7647.53
542.98	7884.04
542.88	7681.88
542.78	7437.31
542.68	7481.11
542.58	7615.03
542.48	7564.79
542.38	7341.07
542.28	7389.51
542.18	7207.2
542.08	7238.36
541.98	7239.71
541.88	7366.52
541.78	7337.58
541.68	7122.74
541.58	6985.77
541.48	6883.71
541.38	7038.14
541.28	6945.01
541.18	6880.91
541.08	6762.99
540.98	6720.01
540.88	6508.88
540.78	6771.12
540.68	6641.45
540.58	6392.75
540.48	6492.57
540.38	6633.24
540.28	6558.7
540.18	6226.71
540.08	6129.41
539.98	6129.11
539.88	6251
539.78	5960.39
539.68	6046.46
539.58	5926.41
539.48	5873.75
539.38	5996.53
539.28	6004.67
539.18	5753.42
539.08	5556.32
538.98	5491.05
538.88	5657.91
538.78	5933.16
538.68	5719.14
538.58	5608.06
538.48	5552.24
538.38	5623.69
538.28	5643.25
538.18	5694.17
538.08	5792.97
537.98	5795.08
537.88	5694.87
537.78	5589.56
537.68	5583.77
537.58	5624.02
537.48	5576.82
537.38	5574.08
537.28	5545.79
537.18	5377.14
537.08	5537.81
536.98	5486.73
536.88	5216.83
536.78	5264.51
536.68	5040.04
536.58	5163.07
536.48	5176.46
536.38	4895.33
536.28	5049.4
536.18	5014
536.08	4858.3
535.98	4953.82
535.88	5013.4
535.78	4984.65
535.68	5104.58
535.58	4929.16
535.48	4924.04
535.38	4850.59
535.28	4800.36
535.18	4898.86
535.08	4728.4
534.98	4799.4
534.88	5073.88
534.78	5221.22
534.68	5129.61
534.58	5115.69
534.48	5091.65
534.38	5045.71
534.28	5090.09
534.18	5085.63
534.08	5488.47
533.98	5689.55
533.88	5941.59
533.78	6135.74
533.68	6687.7
533.58	7318.54
533.48	7880.88
533.38	8557.66
533.28	9940.49
533.18	11282.3
533.08	13225.2
532.98	15564
532.88	17491.9
532.78	20375.3
532.68	23450.2
532.58	26541.4
532.48	29449.7
532.38	32826.6
532.28	35306.8
532.18	36918
532.08	38395.3
531.98	39401.3
531.88	39157.8
531.78	38815.7
531.68	37584.6
531.58	36987.3
531.48	36384.8
531.38	35866.5
531.28	35381.4
531.18	36702.6
531.08	38349.3
530.98	40618.3
530.88	43250
530.78	45787.5
530.68	48141.9
530.58	50583.6
530.48	50793.9
530.38	50364.9
530.28	48542.5
530.18	45818.8
530.08	41241.9
529.98	36469.4
529.88	31342.8
529.78	26176.1
529.68	22370.3
529.58	18488.7
529.48	14715.3
529.38	11944.4
529.28	9665.36
529.18	8345.25
529.08	7203.05
528.98	6674.43
528.88	6332.84
528.78	5837.7
528.68	5557.95
528.58	5334.06
528.48	5244.43
528.38	5173.43
528.28	5184.21
528.18	5258.07
528.08	5092.75
527.98	4873.41
527.88	4841.74
527.78	4856.66
527.68	4893.44
527.58	4794.96
527.48	4746.02
527.38	4671.34
527.28	4669.46
527.18	4894.34
527.08	4764.38
526.98	4671.78
526.88	4934.61
526.78	4948.25
526.68	4740.06
526.58	4934.06
526.48	4817.8
526.38	4770.48
526.28	4628.61
526.18	4727.99
526.08	4858.44
525.98	4690.26
525.88	4655.75
525.78	4417.69
525.68	4564.21
525.58	4578.72
525.48	4796.34
525.38	4798.35
525.28	4730.42
525.18	4654.78
525.08	4633.54
