A	B
Binding Energy (E)	
eV	Counts / s
110.08	511.81
109.98	518.868
109.88	473.589
109.78	472.274
109.68	468.747
109.58	499.235
109.48	477.486
109.38	462.335
109.28	464.721
109.18	530.977
109.08	502.231
108.98	469.008
108.88	489.531
108.78	501.105
108.68	490.286
108.58	460.099
108.48	482.408
108.38	478.066
108.28	485.769
108.18	511.144
108.08	481.242
107.98	451.731
107.88	464.656
107.78	459.839
107.68	468.352
107.58	502.826
107.48	497.284
107.38	446.624
107.28	480.442
107.18	487.685
107.08	493.948
106.98	527.201
106.88	499.75
106.78	443.402
106.68	443.938
106.58	458.333
106.48	475.95
106.38	462.8
106.28	456.918
106.18	429.942
106.08	448.559
105.98	491.772
105.88	412.385
105.78	410.504
105.68	405.962
105.58	441.011
105.48	449.33
105.38	470.388
105.28	471.339
105.18	434.574
105.08	442.252
104.98	480.422
104.88	466.872
104.78	467.077
104.68	451.336
104.58	488.13
104.48	503.446
104.38	439.236
104.28	451.025
104.18	438.941
104.08	419.573
103.98	463.796
103.88	499.965
103.78	484.244
103.68	460.999
103.58	494.373
103.48	500.775
103.38	503.967
103.28	447.454
103.18	466.382
103.08	433.693
102.98	443.472
102.88	510.359
102.78	505.527
102.68	479.672
102.58	532.398
102.48	546.974
102.38	517.147
102.28	556.092
102.18	572.329
102.08	625.57
101.98	709.229
101.88	675.78
101.78	713.295
101.68	827.776
101.58	839.451
101.48	992.107
101.38	1107.32
101.28	1184.53
101.18	1362.02
101.08	1464.47
100.98	1705.27
100.88	1922.74
100.78	2164.91
100.68	2442.59
100.58	2701.57
100.48	2993.57
100.38	3237.37
100.28	3299.48
100.18	3460.08
100.08	3546.5
99.98	3575.02
99.88	3349.34
99.78	3137.03
99.68	2940.53
99.58	2681.63
99.48	2341.42
99.38	1974.62
99.28	1599.17
99.18	1312.69
99.08	1093.7
98.98	962.295
98.88	787.33
98.78	657.123
98.68	616.862
98.58	540.061
98.48	549.65
98.38	540.086
98.28	495.453
98.18	450.13
98.08	441.101
97.98	524.555
97.88	492.247
97.78	503.862
97.68	537.875
97.58	514.506
97.48	470.203
97.38	504.917
97.28	481.663
97.18	485.019
97.08	477.526
96.98	453.731
96.88	493.082
96.78	488.976
96.68	467.367
96.58	471.128
96.48	460.384
96.38	426.06
96.28	501.676
96.18	478.066
96.08	460.134
95.98	499.395
95.88	499.635
95.78	464.906
95.68	488.836
95.58	486.069
95.48	509.139
95.38	452.416
95.28	436.985
95.18	459.219
95.08	484.964
