A	B
Binding Energy (E)	
eV	Counts / s
298.08	4348.11
297.98	4217.48
297.88	4326.54
297.78	4205.74
297.68	4290.43
297.58	4294.93
297.48	4087.13
297.38	3952.58
297.28	4014.15
297.18	3982.34
297.08	3764.7
296.98	3708.72
296.88	3799.59
296.78	3651.71
296.68	3419.86
296.58	3448.72
296.48	3613.68
296.38	3407.66
296.28	3347.92
296.18	3388.55
296.08	3101.64
295.98	3231.51
295.88	3208.92
295.78	3162.88
295.68	3093.34
295.58	3024.81
295.48	3102.44
295.38	3188.87
295.28	3072.82
295.18	3026.5
295.08	2963.41
294.98	2938.84
294.88	2833.96
294.78	2929.67
294.68	2757.29
294.58	2745.42
294.48	2615.49
294.38	2507.17
294.28	2555.39
294.18	2564.2
294.08	2436.34
293.98	2341.44
293.88	2272.48
293.78	2276.15
293.68	2108.9
293.58	2112.37
293.48	2105.94
293.38	2084.92
293.28	2116.43
293.18	2132.76
293.08	2138.36
292.98	1957.95
292.88	1827.08
292.78	1815.63
292.68	1784.02
292.58	1669.27
292.48	1648.74
292.38	1592.56
292.28	1509.6
292.18	1485.89
292.08	1589.81
291.98	1569.47
291.88	1395.06
291.78	1348.12
291.68	1283.36
291.58	1213.83
291.48	1238.51
291.38	1289.25
291.28	1270.4
291.18	1160.57
291.08	1022.74
290.98	969.008
290.88	1102.27
290.78	1078.52
290.68	891.166
290.58	946.479
290.48	899.95
290.38	860.114
290.28	921.939
290.18	881.042
290.08	748.189
289.98	713.385
289.88	665.906
289.78	691.937
289.68	778.541
289.58	772.269
289.48	790.196
289.38	721.749
289.28	822.399
289.18	846.699
289.08	748.669
288.98	744.868
288.88	776.541
288.78	930.732
288.68	1028.63
288.58	1256.13
288.48	1278.42
288.38	1537.81
288.28	2052.82
288.18	2675.61
288.08	3556.49
287.98	4582.43
287.88	5894.34
287.78	7538.49
287.68	9683.33
287.58	11888.9
287.48	13807.7
287.38	15457.7
287.28	17172.7
287.18	18092.8
287.08	18266.5
286.98	17364.2
286.88	15877.3
286.78	14200.1
286.68	11878.5
286.58	9997.65
286.48	7806.92
286.38	6213.2
286.28	4988.11
286.18	4445.44
286.08	4467.19
285.98	4886.35
285.88	5318.55
285.78	6364.36
285.68	7334.07
285.58	8828.54
285.48	10910.2
285.38	12590.5
285.28	13765.3
285.18	15356.5
285.08	16888.4
284.98	18482.8
284.88	19114.6
284.78	19633.7
284.68	19789.7
284.58	20194.9
284.48	21268.3
284.38	22499.4
284.28	24122.3
284.18	25567.2
284.08	27996.5
283.98	30337.7
283.88	33503
283.78	36481.7
283.68	39379
283.58	41318.8
283.48	43238.2
283.38	44324.6
283.28	44021.6
283.18	44435.6
283.08	43460.5
282.98	40627.1
282.88	37879.6
282.78	34357
282.68	29844.2
282.58	25436.9
282.48	20924.5
282.38	16849.7
282.28	13299.9
282.18	10092.3
282.08	7768.23
281.98	6000.17
281.88	4360.43
281.78	3432.59
281.68	2512.08
281.58	1937.63
281.48	1523.76
281.38	1285.05
281.28	1098.82
281.18	885.524
281.08	765.366
280.98	808.553
280.88	718.157
280.78	773.85
280.68	620.168
280.58	592.657
280.48	602.461
280.38	599.02
280.28	588.856
280.18	587.705
280.08	534.154
279.98	533.433
279.88	516.907
279.78	548.069
279.68	551.651
279.58	506.283
279.48	527.291
279.38	516.657
279.28	452.751
279.18	500.2
279.08	517.817
