A	B
Binding Energy (E)	
eV	Counts / s
545.08	9251.29
544.98	9139.94
544.88	9182.93
544.78	9267.62
544.68	9220.22
544.58	9066.64
544.48	8829.91
544.38	8787.9
544.28	8667.24
544.18	8751
544.08	8713.78
543.98	8641.08
543.88	8336.33
543.78	8251.54
543.68	8455.27
543.58	8177.79
543.48	8193.4
543.38	8242.78
543.28	8353.08
543.18	8155.42
543.08	8087.53
542.98	8285.31
542.88	8065.61
542.78	8090
542.68	8121.33
542.58	7865.99
542.48	7504.34
542.38	7620.53
542.28	7776.86
542.18	7656.06
542.08	7210.78
541.98	7185.01
541.88	7295.36
541.78	7166.34
541.68	7120.04
541.58	7169.25
541.48	7090.77
541.38	6982.62
541.28	7044.82
541.18	6897.92
541.08	6875.49
540.98	7120.4
540.88	7052.04
540.78	6702.14
540.68	6480.08
540.58	6634.96
540.48	6825.81
540.38	6745.82
540.28	6815.98
540.18	6556.13
540.08	6666.22
539.98	6389.23
539.88	6149.73
539.78	6257.85
539.68	6201.52
539.58	6204.04
539.48	6139.08
539.38	6042.13
539.28	6084.16
539.18	5993.74
539.08	5989.08
538.98	5912.02
538.88	6035.66
538.78	6205.01
538.68	5908.82
538.58	5726.41
538.48	5741.94
538.38	5815.95
538.28	5808.88
538.18	5694.47
538.08	5811.75
537.98	5736.16
537.88	5885.99
537.78	5790.23
537.68	5926.53
537.58	5959.45
537.48	5970.22
537.38	5769.65
537.28	5623.68
537.18	5643.79
537.08	5566.63
536.98	5464.67
536.88	5385.85
536.78	5406.48
536.68	5523.53
536.58	5452.73
536.48	5303.64
536.38	5288.13
536.28	5180.75
536.18	5121.7
536.08	5146.78
535.98	5171.9
535.88	5222.24
535.78	5169.58
535.68	5069.7
535.58	5036.89
535.48	4984.94
535.38	5101.74
535.28	5159.95
535.18	4864.91
535.08	4995.71
534.98	5205.52
534.88	5191.29
534.78	5180.35
534.68	5338.4
534.58	5338.55
534.48	5303.49
534.38	5555.15
534.28	5632.57
534.18	5402.57
534.08	5499.2
533.98	5810.56
533.88	6060.77
533.78	6336.36
533.68	6713.31
533.58	7390.47
533.48	8042.06
533.38	8959.21
533.28	10300
533.18	11835.9
533.08	14007.8
532.98	16405.6
532.88	18667.8
532.78	22043.5
532.68	25745.6
532.58	28883.6
532.48	31870.9
532.38	35410.7
532.28	38160.5
532.18	40770.4
532.08	41888.1
531.98	43435.9
531.88	43099.7
531.78	42608.8
531.68	41459.3
531.58	40041.2
531.48	38742.4
531.38	37166.7
531.28	36861.3
531.18	36742.8
531.08	38078
530.98	39546.1
530.88	42047.7
530.78	44634.9
530.68	46562
530.58	48470.2
530.48	49847.2
530.38	49696.2
530.28	48415.9
530.18	45558.3
530.08	41647.2
529.98	37150.2
529.88	32607.4
529.78	27006.5
529.68	22412.5
529.58	18500.4
529.48	14890.7
529.38	12462.3
529.28	10311.8
529.18	8604.24
529.08	7438.05
528.98	6836.62
528.88	6415.55
528.78	6263.29
528.68	5749.75
528.58	5495.78
528.48	5350.51
528.38	5352.91
528.28	5612.78
528.18	5182.6
528.08	5028.23
527.98	5125.99
527.88	4993.79
527.78	4916.69
527.68	5079.92
527.58	4932.25
527.48	4705.06
527.38	4970.62
527.28	4985.97
527.18	4797.8
527.08	4905.38
526.98	4712.53
526.88	4620.93
526.78	4771.47
526.68	4640.03
526.58	4635.75
526.48	4615
526.38	4649.77
526.28	4859.59
526.18	4840.52
526.08	4673.62
525.98	4795.55
525.88	4805.21
525.78	4724.24
525.68	4610.87
525.58	4775.42
525.48	4824.07
525.38	4751.23
525.28	4871.11
525.18	4713.71
525.08	4739.9
