A	B
Binding Energy (E)	
eV	Counts / s
110.08	471.594
109.98	471.754
109.88	466.582
109.78	507.908
109.68	489.661
109.58	526.651
109.48	505.637
109.38	467.207
109.28	480.102
109.18	493.332
109.08	515.621
108.98	549.175
108.88	519.083
108.78	487.745
108.68	484.074
108.58	511.365
108.48	452.926
108.38	469.118
108.28	520.353
108.18	480.832
108.08	507.978
107.98	509.879
107.88	510.504
107.78	525.495
107.68	493.883
107.58	473.785
107.48	470.088
107.38	479.297
107.28	482.963
107.18	512.61
107.08	448.139
106.98	440.636
106.88	471.809
106.78	493.717
106.68	468.993
106.58	437.875
106.48	460.864
106.38	488.911
106.28	496.504
106.18	464.476
106.08	459.159
105.98	453.116
105.88	455.162
105.78	478.872
105.68	453.126
105.58	485.754
105.48	479.642
105.38	467.137
105.28	487.86
105.18	464.821
105.08	448.224
104.98	441.171
104.88	436.37
104.78	475.495
104.68	493.527
104.58	499.955
104.48	501.261
104.38	488.245
104.28	490.241
104.18	463.115
104.08	466.702
103.98	479.457
103.88	483.338
103.78	481.773
103.68	463.926
103.58	476.611
103.48	461.209
103.38	473.935
103.28	502.151
103.18	525.705
103.08	461.249
102.98	445.363
102.88	468.522
102.78	468.592
102.68	552.396
102.58	545.518
102.48	500.865
102.38	507.843
102.28	538.901
102.18	554.402
102.08	535.919
101.98	542.612
101.88	581.037
101.78	628.336
101.68	705.102
101.58	722.534
101.48	778.326
101.38	872.759
101.28	902.731
101.18	1047
101.08	1213.41
100.98	1255.75
100.88	1368.18
100.78	1483.66
100.68	1687.97
100.58	1832.88
100.48	1998.23
100.38	2057.3
100.28	2233.92
100.18	2190.06
100.08	2275.68
99.98	2334.22
99.88	2307.02
99.78	2057.54
99.68	2001.13
99.58	1837.57
99.48	1645.7
99.38	1455.82
99.28	1246.8
99.18	1055.26
99.08	944.988
98.98	814.551
98.88	688.665
98.78	627.176
98.68	591.166
98.58	532.938
98.48	521.659
98.38	501.486
98.28	514.106
98.18	490.416
98.08	497.114
97.98	497.179
97.88	479.612
97.78	459.054
97.68	478.536
97.58	474.815
97.48	492.847
97.38	483.814
97.28	438.225
97.18	449.555
97.08	482.158
96.98	478.912
96.88	434.919
96.78	467.027
96.68	485.369
96.58	481.588
96.48	524.81
96.38	538
96.28	541.221
96.18	518.202
96.08	439.891
95.98	459.774
95.88	486.88
95.78	494.173
95.68	508.323
95.58	504.797
95.48	488.215
95.38	478.591
95.28	486.68
95.18	454.402
95.08	456.768
