A	B
Binding Energy (E)	
eV	Counts / s
298.08	4869.73
297.98	4827.13
297.88	4689.29
297.78	4885.83
297.68	4903.02
297.58	4688.68
297.48	4478.05
297.38	4403.42
297.28	4287.51
297.18	4277.26
297.08	4349.51
296.98	4138.43
296.88	4065.38
296.78	4050.98
296.68	3878.14
296.58	3830.79
296.48	3853.83
296.38	3735.3
296.28	3713.93
296.18	3771.92
296.08	3673.32
295.98	3591.01
295.88	3432.91
295.78	3380.44
295.68	3491.73
295.58	3465.17
295.48	3471.52
295.38	3353.64
295.28	3199.54
295.18	3224.89
295.08	3209.73
294.98	3112.74
294.88	3106.7
294.78	3077.16
294.68	2971.41
294.58	2861.55
294.48	2953.52
294.38	2897.42
294.28	2652.75
294.18	2727.98
294.08	2624.61
293.98	2598.44
293.88	2591.9
293.78	2531.07
293.68	2462.51
293.58	2410.33
293.48	2438.84
293.38	2368.51
293.28	2274.31
293.18	2191.98
293.08	2066.35
292.98	2024.97
292.88	2100.74
292.78	2050.95
292.68	1960.14
292.58	1854.89
292.48	1784.03
292.38	1836.81
292.28	1683.04
292.18	1590.7
292.08	1661.52
291.98	1581.07
291.88	1461
291.78	1470.12
291.68	1377.59
291.58	1357.93
291.48	1274.14
291.38	1292.69
291.28	1239.78
291.18	1269.03
291.08	1142.61
290.98	1148.81
290.88	1213.56
290.78	1142.42
290.68	1167.29
290.58	1110.87
290.48	993.487
290.38	1000.71
290.28	930.872
290.18	953.311
290.08	902.551
289.98	848.93
289.88	836.565
289.78	834.534
289.68	798.569
289.58	815.996
289.48	881.333
289.38	913.255
289.28	878.411
289.18	876.741
289.08	889.596
288.98	870.108
288.88	955.312
288.78	1011.37
288.68	1126.25
288.58	1371.18
288.48	1575.48
288.38	1926.1
288.28	2492.35
288.18	3205.95
288.08	4204.39
287.98	5380.09
287.88	7322.88
287.78	9424.52
287.68	11589.9
287.58	13998.9
287.48	16210.2
287.38	17884
287.28	19103.6
287.18	19623
287.08	19215.3
286.98	18008.1
286.88	16096.1
286.78	13643.4
286.68	11121.8
286.58	8656.01
286.48	6923.43
286.38	5688.24
286.28	4824.5
286.18	4675.87
286.08	4629.61
285.98	5127.59
285.88	6264.11
285.78	7397.25
285.68	8748.6
285.58	10246.3
285.48	12483.4
285.38	14543.6
285.28	16086.4
285.18	17591.1
285.08	19127.4
284.98	20093.1
284.88	20854.1
284.78	21263.7
284.68	21261.9
284.58	22002.8
284.48	23514.7
284.38	25124.9
284.28	26877
284.18	28813.7
284.08	31558.1
283.98	34067.2
283.88	37668.5
283.78	40917.4
283.68	43308.9
283.58	45027.4
283.48	47115.2
283.38	48330.5
283.28	48482.7
283.18	48146.5
283.08	45877.5
282.98	43591.6
282.88	40285.3
282.78	35787.3
282.68	31299.7
282.58	26217.6
282.48	21422
282.38	17385.7
282.28	13372.4
282.18	10084.8
282.08	7615.2
281.98	5796.3
281.88	4434.53
281.78	3244.47
281.68	2606.2
281.58	2155.64
281.48	1696.7
281.38	1320.89
281.28	1134.07
281.18	1032.33
281.08	898.84
280.98	896.208
280.88	761.655
280.78	693.027
280.68	729.812
280.58	628.912
280.48	693.047
280.38	634.224
280.28	643.407
280.18	633.914
280.08	615.546
279.98	588.625
279.88	606.012
279.78	626.751
279.68	596.198
279.58	552.031
279.48	543.407
279.38	483.403
279.28	544.018
279.18	494.488
279.08	518.527
