A	B
Binding Energy (E)	
eV	Counts / s
545.08	10215.9
544.98	10373.4
544.88	9956
544.78	10016.8
544.68	10341.2
544.58	10267.2
544.48	10364
544.38	10034
544.28	9754.08
544.18	9650.45
544.08	9821.39
543.98	9752.82
543.88	9320.86
543.78	9480.95
543.68	9530.67
543.58	9455.36
543.48	9355.87
543.38	9217.67
543.28	9171.87
543.18	9052.39
543.08	8909.89
542.98	8650.29
542.88	8733.62
542.78	8913.45
542.68	8812.81
542.58	8755.17
542.48	8576.73
542.38	8549.05
542.28	8675.35
542.18	8079.16
542.08	8234.02
541.98	8178.18
541.88	8003.93
541.78	7911.39
541.68	7915.25
541.58	7861.08
541.48	7863.03
541.38	7717.57
541.28	7664.27
541.18	7594.06
541.08	7841.56
540.98	7831.26
540.88	7909.28
540.78	7605.35
540.68	7271.2
540.58	7405.2
540.48	7333.54
540.38	7228.86
540.28	7267.22
540.18	7191.99
540.08	7357.12
539.98	7152.79
539.88	6872.81
539.78	6891.69
539.68	6884.68
539.58	6593.87
539.48	6664.3
539.38	6539.92
539.28	6544.27
539.18	6401.6
539.08	6585.68
538.98	6584.01
538.88	6463.1
538.78	6413.72
538.68	6403.03
538.58	6465.19
538.48	6257.96
538.38	6385.88
538.28	6412.98
538.18	6430.26
538.08	6481.83
537.98	6362.35
537.88	6546.07
537.78	6601.62
537.68	6208.6
537.58	6368.9
537.48	6314.87
537.38	6233.4
537.28	6281.56
537.18	6088.42
537.08	6196.95
536.98	6225.51
536.88	6163.69
536.78	5888.23
536.68	5831.47
536.58	5877.02
536.48	6010.8
536.38	5731.73
536.28	5784.91
536.18	5772.66
536.08	5701.36
535.98	5749.42
535.88	5907.32
535.78	5738.24
535.68	5568.34
535.58	5570.82
535.48	5483.51
535.38	5507.53
535.28	5806.71
535.18	5789.07
535.08	5835.76
534.98	5631.11
534.88	5717.35
534.78	5685.7
534.68	5673.75
534.58	5795.53
534.48	5733.72
534.38	5912.93
534.28	6065.89
534.18	6064.2
534.08	6280.28
533.98	6412.51
533.88	6882.71
533.78	7095.71
533.68	7538.72
533.58	8204.52
533.48	8939.47
533.38	10122.7
533.28	11471.5
533.18	13002.8
533.08	15327.1
532.98	17994.5
532.88	20834.8
532.78	24383.3
532.68	28101.5
532.58	31841.5
532.48	35650.5
532.38	39205.2
532.28	42664.4
532.18	44994.9
532.08	46231.6
531.98	47096.8
531.88	46534.8
531.78	45200.3
531.68	43493.7
531.58	41563.2
531.48	40740.2
531.38	39802.2
531.28	39962.1
531.18	41585.9
531.08	43235.9
530.98	46144.8
530.88	49734.6
530.78	52384.7
530.68	55878.2
530.58	57837
530.48	58794.1
530.38	57788.8
530.28	55284.1
530.18	51875.2
530.08	45958.5
529.98	40095.6
529.88	34159.1
529.78	28125.7
529.68	23044.5
529.58	18254.6
529.48	14896.4
529.38	11852.7
529.28	9859.74
529.18	8697.91
529.08	7772.75
528.98	7294.13
528.88	6659.95
528.78	6544.73
528.68	6073.33
528.58	5895.43
528.48	5832.55
528.38	5778.9
528.28	5702.79
528.18	5638.92
528.08	5732.63
527.98	5419.82
527.88	5522.47
527.78	5579.3
527.68	5505.35
527.58	5486.25
527.48	5277.19
527.38	5399.46
527.28	5358.69
527.18	5258.52
527.08	5327.58
526.98	5199.54
526.88	5441.59
526.78	5419.3
526.68	5093.78
526.58	5148.42
526.48	5308.41
526.38	5339.02
526.28	5284.39
526.18	5100.99
526.08	5002.19
525.98	5208.17
525.88	5288.31
525.78	5138.03
525.68	5079.52
525.58	5127.6
525.48	5158.07
525.38	5188.22
525.28	5223.84
525.18	5078.19
525.08	5134.96
