A	B
Binding Energy (E)	Intensity
eV	Counts / s
110.08	559.054
109.98	550.91
109.88	525.38
109.78	554.767
109.68	591.607
109.58	531.182
109.48	548.534
109.38	570.178
109.28	557.538
109.18	549.735
109.08	572.559
108.98	519.343
108.88	543.117
108.78	548.444
108.68	533.824
108.58	565.911
108.48	564.591
108.38	537.625
108.28	530.957
108.18	523.795
108.08	529.472
107.98	517.702
107.88	495.643
107.78	501.461
107.68	492.772
107.58	513.525
107.48	555.237
107.38	559.169
107.28	560.894
107.18	515.476
107.08	531.623
106.98	511.234
106.88	591.912
106.78	548.449
106.68	521.138
106.58	543.232
106.48	526.195
106.38	526.836
106.28	532.738
106.18	527.686
106.08	528.546
105.98	508.573
105.88	558.698
105.78	579.397
105.68	576.19
105.58	520.578
105.48	518.597
105.38	549.275
105.28	497.479
105.18	525.91
105.08	534.724
104.98	538.55
104.88	543.497
104.78	511.139
104.68	534.054
104.58	512.345
104.48	510.804
104.38	510.444
104.28	538.055
104.18	523.714
104.08	513.42
103.98	552.861
103.88	518.853
103.78	528.381
103.68	538.6
103.58	570.703
103.48	566.156
103.38	554.932
103.28	550.755
103.18	554.897
103.08	569.613
102.98	583.984
102.88	608.598
102.78	594.858
102.68	561.47
102.58	610.784
102.48	598.935
102.38	592.497
102.28	665.701
102.18	680.262
102.08	735.424
101.98	763.791
101.88	759.104
101.78	764.096
101.68	843.607
101.58	948.76
101.48	1056.47
101.38	1240.25
101.28	1285.89
101.18	1426.06
101.08	1651.87
100.98	1867.66
100.88	2212.89
100.78	2303.1
100.68	2603.5
100.58	2900.63
100.48	2956.99
100.38	3267.28
100.28	3406.85
100.18	3480.19
100.08	3514.6
99.98	3479.45
99.88	3312.98
99.78	3093.64
99.68	2897.9
99.58	2561
99.48	2143.64
99.38	1918.15
99.28	1519.29
99.18	1296.38
99.08	1147.7
98.98	926.23
98.88	771.754
98.78	713.14
98.68	663.52
98.58	571.238
98.48	563.015
98.38	571.254
98.28	551.005
98.18	563.51
98.08	559.424
97.98	555.397
97.88	539.041
97.78	555.557
97.68	548.865
97.58	518.032
97.48	565.121
97.38	545.063
97.28	563.215
97.18	548.114
97.08	545.058
96.98	544.933
96.88	554.872
96.78	517.802
96.68	514.691
96.58	532.048
96.48	551.506
96.38	541.427
96.28	525.21
96.18	545.138
96.08	511.239
95.98	539.026
95.88	549.05
95.78	529.402
95.68	518.007
95.58	521.744
95.48	550.01
95.38	551.696
95.28	556.242
95.18	535.504
95.08	541.427
