A	B
Binding Energy (E)	
eV	Counts / s
545.08	10515.9
544.98	10298.2
544.88	10376.1
544.78	10281.6
544.68	9742.93
544.58	10161
544.48	10246.8
544.38	9799.87
544.28	9801.41
544.18	9859.64
544.08	9522.66
543.98	9605.82
543.88	9506.57
543.78	9429.67
543.68	9247.07
543.58	9078.51
543.48	9168.67
543.38	9147.73
543.28	9143.61
543.18	9168.44
543.08	9140.15
542.98	8903.95
542.88	8722.38
542.78	8555.58
542.68	8529.75
542.58	8575.89
542.48	8292.75
542.38	8521.61
542.28	8447.6
542.18	8412.76
542.08	8392.1
541.98	8235.06
541.88	8219.41
541.78	8154.11
541.68	7934.03
541.58	7891.07
541.48	7932.35
541.38	7999.66
541.28	7963.06
541.18	7734.61
541.08	7749.13
540.98	7741.94
540.88	7565.69
540.78	7475.26
540.68	7315.88
540.58	7230.18
540.48	7332.19
540.38	7458.76
540.28	7499.33
540.18	7366.81
540.08	7024.92
539.98	7040.71
539.88	6768.22
539.78	6783.23
539.68	6934.43
539.58	6944.85
539.48	6649.54
539.38	6713.61
539.28	6869.1
539.18	6576.84
539.08	6433
538.98	6610.7
538.88	6542.48
538.78	6440.79
538.68	6458.51
538.58	6749.81
538.48	6607.07
538.38	6720.28
538.28	6814.79
538.18	6686.46
538.08	6552.05
537.98	6434.18
537.88	6538.61
537.78	6807.67
537.68	6653.22
537.58	6479.94
537.48	6457.7
537.38	6557.5
537.28	6333.85
537.18	6336.46
537.08	6160.8
536.98	6187.94
536.88	6114.95
536.78	6032.6
536.68	5985.79
536.58	5987.73
536.48	5810.02
536.38	5869.7
536.28	5810.66
536.18	5794.59
536.08	5835.36
535.98	5728.47
535.88	5678.65
535.78	5603.22
535.68	5672.25
535.58	5399.55
535.48	5651.77
535.38	5646.08
535.28	5769.28
535.18	5737.26
535.08	5675.19
534.98	5760.62
534.88	5981.13
534.78	5736.8
534.68	5558.22
534.58	5746.65
534.48	6029.62
534.38	6030
534.28	5858.78
534.18	6137.79
534.08	6217.38
533.98	6194.86
533.88	6514.43
533.78	6921.88
533.68	7430.31
533.58	7981.77
533.48	8790.76
533.38	9938.34
533.28	11287
533.18	13348.7
533.08	15880.7
532.98	18503.8
532.88	21224.1
532.78	24916.2
532.68	28838.7
532.58	32528
532.48	37293.8
532.38	40369
532.28	43512.2
532.18	46174.8
532.08	48005.3
531.98	48782.5
531.88	47844.7
531.78	47499.7
531.68	45676.9
531.58	44388.2
531.48	42012.5
531.38	40582.5
531.28	40850.4
531.18	41843.4
531.08	43406.9
530.98	45679.3
530.88	48519.4
530.78	50545.9
530.68	53660.2
530.58	56513.7
530.48	56772.6
530.38	56175.3
530.28	54364.7
530.18	51362.7
530.08	46289
529.98	40726.3
529.88	35303.3
529.78	28890.2
529.68	24110.1
529.58	19695.9
529.48	15600.3
529.38	12927.4
529.28	10613.8
529.18	9188.34
529.08	8102.41
528.98	7119.08
528.88	6756.07
528.78	6550.83
528.68	6385.14
528.58	6263.95
528.48	5972.34
528.38	5650.91
528.28	5754.16
528.18	5813.11
528.08	5672.77
527.98	5692.65
527.88	5643.47
527.78	5477.26
527.68	5676.84
527.58	5485.7
527.48	5532.54
527.38	5606.78
527.28	5479.51
527.18	5581.05
527.08	5495.88
526.98	5402.23
526.88	5305.29
526.78	5252.18
526.68	5299.14
526.58	5154.65
526.48	5242.23
526.38	5210.39
526.28	5227.98
526.18	5217.32
526.08	5262.96
525.98	5127.28
525.88	5244.56
525.78	5286.9
525.68	5272.66
525.58	5332.38
525.48	5244.98
525.38	5195.65
525.28	5202.92
525.18	5175.06
525.08	5351.33
