A	B
Binding Energy (E)	
eV	Counts / s
110.08	537.34
109.98	557.568
109.88	532.498
109.78	505.402
109.68	539.971
109.58	547.669
109.48	556.373
109.38	531.072
109.28	565.976
109.18	576.281
109.08	516.832
108.98	455.497
108.88	499.795
108.78	507.998
108.68	521.749
108.58	537.505
108.48	547.029
108.38	583.388
108.28	608.904
108.18	528.967
108.08	546.854
107.98	596.243
107.88	543.382
107.78	528.626
107.68	549.735
107.58	575.025
107.48	580.952
107.38	538.485
107.28	543.552
107.18	567.202
107.08	554.867
106.98	569.613
106.88	530.202
106.78	555.832
106.68	523.714
106.58	519.403
106.48	554.547
106.38	551.301
106.28	529.687
106.18	501.851
106.08	523.865
105.98	530.457
105.88	536.55
105.78	515.646
105.68	532.173
105.58	502.246
105.48	554.772
105.38	534.764
105.28	505.632
105.18	535.549
105.08	541.086
104.98	549.03
104.88	526.351
104.78	567.892
104.68	539.891
104.58	543.372
104.48	558.268
104.38	575.565
104.28	552.206
104.18	513.195
104.08	511.575
103.98	515.251
103.88	521.479
103.78	524.61
103.68	528.902
103.58	534.669
103.48	575.21
103.38	515.241
103.28	548.574
103.18	526.411
103.08	518.988
102.98	518.272
102.88	533.143
102.78	604.617
102.68	595.898
102.58	564.691
102.48	555.402
102.38	625.41
102.28	632.003
102.18	644.873
102.08	676.471
101.98	729.087
101.88	723.359
101.78	781.022
101.68	786.91
101.58	878.141
101.48	959.064
101.38	1064.91
101.28	1116.12
101.18	1259.45
101.08	1469.07
100.98	1626
100.88	1642.81
100.78	1826.98
100.68	2018.22
100.58	2136.95
100.48	2310.43
100.38	2440.42
100.28	2459.45
100.18	2521.22
100.08	2637.34
99.98	2580.62
99.88	2436.21
99.78	2279.36
99.68	2066.35
99.58	1915.35
99.48	1747.72
99.38	1523.78
99.28	1285.14
99.18	1078.42
99.08	973.584
98.98	820.593
98.88	746.614
98.78	735.419
98.68	636.735
98.58	626.841
98.48	543.352
98.38	518.747
98.28	544.518
98.18	527.706
98.08	543.392
97.98	544.483
97.88	585.079
97.78	576.841
97.68	532.253
97.58	536.37
97.48	502.091
97.38	539.076
97.28	568.492
97.18	538.62
97.08	572.454
96.98	545.893
96.88	535.189
96.78	539.981
96.68	510.474
96.58	534.919
96.48	542.137
96.38	548.334
96.28	554.217
96.18	534.494
96.08	558.493
95.98	578.386
95.88	504.077
95.78	521.714
95.68	512.88
95.58	579.692
95.48	545.798
95.38	536.355
95.28	605.667
95.18	522.044
95.08	522.059
