A	B
Binding Energy (E)	
eV	Counts / s
298.08	4840.74
297.98	4775.12
297.88	4709.85
297.78	4920.9
297.68	4831.31
297.58	4614.06
297.48	4607.75
297.38	4447.41
297.28	4282.76
297.18	4299.56
297.08	4248.95
296.98	4069.22
296.88	3984.41
296.78	4078.86
296.68	4080.03
296.58	3951.69
296.48	3894.12
296.38	3703.88
296.28	3663.28
296.18	3644.99
296.08	3661.87
295.98	3586.02
295.88	3526.77
295.78	3427.87
295.68	3502.32
295.58	3436.41
295.48	3272.17
295.38	3314.44
295.28	3371.56
295.18	3304.91
295.08	3342.99
294.98	3176.36
294.88	3199.95
294.78	3059.37
294.68	2948.71
294.58	2962.42
294.48	2951.16
294.38	2998.59
294.28	2852.4
294.18	2789.15
294.08	2693.54
293.98	2569.99
293.88	2606.63
293.78	2554.77
293.68	2517.09
293.58	2468.02
293.48	2370.83
293.38	2321.08
293.28	2166.27
293.18	2049.14
293.08	2087.15
292.98	2070.47
292.88	1992.24
292.78	1895.92
292.68	1858.51
292.58	1875.52
292.48	1844.06
292.38	1705.06
292.28	1741.32
292.18	1582.43
292.08	1573.94
291.98	1531.14
291.88	1564.13
291.78	1520.31
291.68	1439.16
291.58	1457.66
291.48	1431.58
291.38	1409.69
291.28	1324.17
291.18	1230.71
291.08	1195.94
290.98	1090.8
290.88	1036.72
290.78	1202.72
290.68	1138.2
290.58	1063.14
290.48	1004.92
290.38	925.97
290.28	1009.1
290.18	980.182
290.08	959.454
289.98	928.721
289.88	887.095
289.78	864.046
289.68	857.883
289.58	866.417
289.48	808.733
289.38	792.337
289.28	881.012
289.18	779.532
289.08	799.78
288.98	855.272
288.88	951.641
288.78	1104.51
288.68	1252.75
288.58	1362.15
288.48	1655.34
288.38	2052.9
288.28	2521.23
288.18	3139.27
288.08	4437.93
287.98	5716.63
287.88	7481.87
287.78	9645.5
287.68	11690
287.58	13972.5
287.48	16127.7
287.38	17832.7
287.28	19304.9
287.18	19836.3
287.08	19854.6
286.98	18503.8
286.88	16380.3
286.78	14172.5
286.68	11756
286.58	9486.91
286.48	7610.83
286.38	6076.53
286.28	5190.57
286.18	4767.39
286.08	5208.64
285.98	5620.92
285.88	6407.23
285.78	7648.92
285.68	8983.26
285.58	10634.8
285.48	12675.5
285.38	14737.9
285.28	16450.8
285.18	18285.7
285.08	19399
284.98	20631.7
284.88	21778.1
284.78	21942.5
284.68	22621.2
284.58	23097.2
284.48	23853.9
284.38	25235.3
284.28	26949.5
284.18	29430.5
284.08	31915.1
283.98	35013.1
283.88	37943.7
283.78	41085
283.68	43664.7
283.58	45864.5
283.48	47407.7
283.38	48512.7
283.28	48825.5
283.18	47835.3
283.08	46282.7
282.98	43917.1
282.88	39394.3
282.78	34784.1
282.68	30893.4
282.58	26114.1
282.48	21154.9
282.38	16568.7
282.28	12996.5
282.18	10262.3
282.08	8000.2
281.98	5724.16
281.88	4096.68
281.78	3183.29
281.68	2428.72
281.58	1929.74
281.48	1532.95
281.38	1308.58
281.28	1124.26
281.18	955.822
281.08	897.869
280.98	812.725
280.88	676.751
280.78	717.507
280.68	761.515
280.58	698.739
280.48	593.407
280.38	641.977
280.28	615.626
280.18	624.51
280.08	622.849
279.98	634.944
279.88	658.293
279.78	661.255
279.68	608.253
279.58	547.169
279.48	511.855
279.38	485.064
279.28	468.267
279.18	496.299
279.08	559.734
