A	B
Binding Energy (E)	
eV	Counts / s
298.08	4531.96
297.98	4432.13
297.88	4387.8
297.78	4378.06
297.68	4075.12
297.58	4039.49
297.48	4069.87
297.38	4084.45
297.28	3908.22
297.18	3991.35
297.08	3969.4
296.98	3835.44
296.88	3767.15
296.78	3580.06
296.68	3555.67
296.58	3459.32
296.48	3567.47
296.38	3367.7
296.28	3485.84
296.18	3232.47
296.08	3184.89
295.98	3181.84
295.88	3181.64
295.78	3066.58
295.68	3182.37
295.58	3057.5
295.48	3036.04
295.38	2958.25
295.28	2929.9
295.18	2983.16
295.08	3045.65
294.98	2898.29
294.88	2828.1
294.78	2858.82
294.68	2783.83
294.58	2749.91
294.48	2652.02
294.38	2475.39
294.28	2556.08
294.18	2602.48
294.08	2381.12
293.98	2444.35
293.88	2494.77
293.78	2320.96
293.68	2353.84
293.58	2247.01
293.48	2265.43
293.38	2105.22
293.28	2242.26
293.18	2095.13
293.08	2017.45
292.98	1899.75
292.88	1855.19
292.78	1816.8
292.68	1856.11
292.58	1831.31
292.48	1811.48
292.38	1519.31
292.28	1585.92
292.18	1527.33
292.08	1496.16
291.98	1510.74
291.88	1377.13
291.78	1313.52
291.68	1283.47
291.58	1263.59
291.48	1209.38
291.38	1277.24
291.28	1231.87
291.18	1220.03
291.08	1076.48
290.98	1071.34
290.88	1065.45
290.78	1123.59
290.68	1063.99
290.58	971.118
290.48	919.468
290.38	936.295
290.28	964.666
290.18	930.372
290.08	927.021
289.98	865.446
289.88	833.303
289.78	827.951
289.68	761.725
289.58	748.449
289.48	740.276
289.38	760.114
289.28	822.839
289.18	827.031
289.08	815.486
288.98	810.814
288.88	841.667
288.78	930.402
288.68	1110.36
288.58	1089.55
288.48	1265.3
288.38	1674.19
288.28	2075.67
288.18	2417.51
288.08	3340.83
287.98	4317.8
287.88	5867.15
287.78	7265.43
287.68	8964.7
287.58	10922.7
287.48	12661.2
287.38	14603.3
287.28	15995.5
287.18	16751
287.08	17267.9
286.98	16748
286.88	15700.1
286.78	14105.3
286.68	12073.9
286.58	10000.4
286.48	8018.71
286.38	6713.25
286.28	5461.22
286.18	4685.98
286.08	4827.85
285.98	4811.43
285.88	5268.38
285.78	6167.64
285.68	7147.73
285.58	8446.21
285.48	10213.3
285.38	11563.9
285.28	12886
285.18	14938.2
285.08	15848.1
284.98	16922.1
284.88	18101.9
284.78	19030
284.68	19851.5
284.58	20125.3
284.48	21173.2
284.38	22283
284.28	23685.9
284.18	24941.5
284.08	27127.3
283.98	29602.5
283.88	32294.7
283.78	34798.8
283.68	37568.2
283.58	39963.5
283.48	41810.6
283.38	43125.4
283.28	43939.4
283.18	43623.6
283.08	43084.4
282.98	41270.7
282.88	38392.5
282.78	35072.8
282.68	31289.8
282.58	26957.4
282.48	22686.8
282.38	18381.1
282.28	14432.2
282.18	11418.7
282.08	9176.6
281.98	6786.27
281.88	4951.32
281.78	3802.32
281.68	2993.7
281.58	2225.4
281.48	1746.31
281.38	1432.11
281.28	1131.89
281.18	1039.07
281.08	909.074
280.98	721.699
280.88	723.499
280.78	654.432
280.68	692.687
280.58	643.307
280.48	550.95
280.38	559.934
280.28	608.053
280.18	561.335
280.08	541.086
279.98	503.601
279.88	502.681
279.78	591.076
279.68	551.611
279.58	494.108
279.48	462.105
279.38	486.194
279.28	519.678
279.18	552.171
279.08	520.508
