A	B
Binding Energy (E)	
eV	Counts / s
545.08	9268.5
544.98	9292.64
544.88	9062.08
544.78	9133.6
544.68	9071.45
544.58	8807.76
544.48	8712.43
544.38	8828
544.28	8718.85
544.18	8748.79
544.08	8658.22
543.98	8191.27
543.88	8088.96
543.78	8332.78
543.68	8362.67
543.58	8347.23
543.48	8336.52
543.38	8096.56
543.28	7928.28
543.18	7954.78
543.08	8053.11
542.98	7914.08
542.88	7761.94
542.78	7838.38
542.68	7729.06
542.58	7798.96
542.48	7593.39
542.38	7665.94
542.28	7659.55
542.18	7522.01
542.08	7308.85
541.98	7103.06
541.88	7284.64
541.78	7200.99
541.68	7052.42
541.58	7317.79
541.48	7188.13
541.38	6943.44
541.28	7023.99
541.18	6910.74
541.08	7032.39
540.98	7014.14
540.88	7006.18
540.78	6664.34
540.68	6744.32
540.58	6781.77
540.48	6813.3
540.38	6739.18
540.28	6715.25
540.18	6555.28
540.08	6541.03
539.98	6390.73
539.88	6358.19
539.78	6316.94
539.68	6245.33
539.58	6160.98
539.48	5942.13
539.38	5846.32
539.28	6041.63
539.18	6041.04
539.08	5885.68
538.98	5722
538.88	5720.86
538.78	5867.31
538.68	5912.84
538.58	5929.32
538.48	5791.14
538.38	5633.8
538.28	5581.15
538.18	5679.91
538.08	5897.28
537.98	6029.23
537.88	5823.78
537.78	5717.45
537.68	5692.98
537.58	5611.63
537.48	5828.12
537.38	5908.25
537.28	5771.93
537.18	5663.34
537.08	5634.24
536.98	5838.82
536.88	5586.14
536.78	5467.24
536.68	5446.29
536.58	5306.15
536.48	5398.88
536.38	5270.85
536.28	5167.84
536.18	5095.78
536.08	5116.88
535.98	5111.98
535.88	5149.46
535.78	4794.03
535.68	4831.74
535.58	5003.4
535.48	4944.86
535.38	5006.62
535.28	4999.52
535.18	4934.3
535.08	5011.02
534.98	5258.4
534.88	5251.75
534.78	5209.21
534.68	5194.21
534.58	5181.97
534.48	5295.38
534.38	5316.8
534.28	5364.02
534.18	5425.49
534.08	5315.04
533.98	5534.31
533.88	5776.46
533.78	5917.65
533.68	6243.64
533.58	6694.59
533.48	7516.33
533.38	8184.66
533.28	9107.1
533.18	10543.2
533.08	12420.2
532.98	14232.7
532.88	16587.1
532.78	19312.5
532.68	22336.4
532.58	25944.3
532.48	29578.9
532.38	33225.1
532.28	35828.2
532.18	38693.6
532.08	41762.2
531.98	42374.6
531.88	41804.5
531.78	41356.9
531.68	40776.4
531.58	39491.5
531.48	38299.1
531.38	37424.2
531.28	36460.7
531.18	36612.5
531.08	36938.5
530.98	39134.7
530.88	41892.9
530.78	43405.6
530.68	45654.6
530.58	47607.4
530.48	49831.4
530.38	50251.9
530.28	49230.9
530.18	47527.2
530.08	44493.3
529.98	39807.8
529.88	34937.6
529.78	29658.7
529.68	24961.3
529.58	20596.1
529.48	16734.5
529.38	13420.6
529.28	11126.5
529.18	9456.85
529.08	8088.06
528.98	7164.8
528.88	6522.62
528.78	6075.01
528.68	5801.09
528.58	5619.13
528.48	5465.5
528.38	5289.82
528.28	5167.83
528.18	5190.23
528.08	5041.54
527.98	5317.72
527.88	5152.52
527.78	5163.96
527.68	5174.61
527.58	4890.33
527.48	4966.17
527.38	4919.2
527.28	5023.02
527.18	4972.18
527.08	4900.71
526.98	4792.57
526.88	4755.09
526.78	4809.9
526.68	4623.59
526.58	4785.66
526.48	4838.76
526.38	4875.45
526.28	4778.77
526.18	4692.25
526.08	4566.37
525.98	4619.29
525.88	4633.9
525.78	4755.54
525.68	4748.21
525.58	4871.52
525.48	4909.09
525.38	4855.38
525.28	4758.78
525.18	4629.39
525.08	4536.72
