A	B
Binding Energy (E)	
eV	Counts / s
110.08	492.942
109.98	464.226
109.88	442.482
109.78	468.087
109.68	474.42
109.58	481.227
109.48	479.827
109.38	464.716
109.28	450.75
109.18	459.034
109.08	454.322
108.98	450.795
108.88	453.236
108.78	477.806
108.68	456.087
108.58	437.935
108.48	476.471
108.38	502.141
108.28	500.275
108.18	498.369
108.08	481.803
107.98	510.139
107.88	496.859
107.78	468.117
107.68	520.128
107.58	461.645
107.48	451.771
107.38	458.954
107.28	506.443
107.18	480.517
107.08	461.87
106.98	465.761
106.88	454.282
106.78	448.514
106.68	447.259
106.58	446.299
106.48	464.866
106.38	436.49
106.28	515.741
106.18	466.252
106.08	439.036
105.98	464.996
105.88	454.102
105.78	465.126
105.68	515.956
105.58	456.002
105.48	477.616
105.38	476.881
105.28	466.176
105.18	479.532
105.08	475.765
104.98	469.068
104.88	498.484
104.78	497.684
104.68	488.495
104.58	469.313
104.48	441.231
104.38	479.412
104.28	461.355
104.18	466.186
104.08	442.427
103.98	445.933
103.88	486.044
103.78	484.594
103.68	467.752
103.58	443.292
103.48	485.364
103.38	470.748
103.28	481.903
103.18	458.899
103.08	487.32
102.98	516.297
102.88	469.193
102.78	487.41
102.68	468.497
102.58	501.576
102.48	512.895
102.38	521.113
102.28	511.104
102.18	550.875
102.08	582.728
101.98	619.033
101.88	638.2
101.78	673.439
101.68	704.697
101.58	790.686
101.48	791.547
101.38	908.909
101.28	1008.04
101.18	1090.68
101.08	1188.15
100.98	1264.54
100.88	1458.29
100.78	1613.69
100.68	1686.32
100.58	1806.1
100.48	1978.6
100.38	2162.5
100.28	2347.34
100.18	2426.6
100.08	2469.49
99.98	2404.76
99.88	2384.26
99.78	2220.89
99.68	2170.42
99.58	2043.29
99.48	1828.98
99.38	1664.38
99.28	1420.54
99.18	1198
99.08	1027.99
98.98	931.933
98.88	789.331
98.78	670.928
98.68	589.646
98.58	552.576
98.48	518.833
98.38	512.42
98.28	514.271
98.18	508.113
98.08	460.589
97.98	439.881
97.88	434.659
97.78	479.437
97.68	465.946
97.58	478.141
97.48	467.422
97.38	464.591
97.28	508.553
97.18	504.997
97.08	494.958
96.98	519.263
96.88	473.945
96.78	460.014
96.68	482.843
96.58	481.167
96.48	462.835
96.38	477.986
96.28	485.464
96.18	473.449
96.08	460.974
95.98	474.415
95.88	478.571
95.78	474.135
95.68	472.939
95.58	484.049
95.48	480.852
95.38	488.585
95.28	472.469
95.18	456.192
95.08	465.141
