A	B
Binding Energy (E)	
eV	Counts / s
298.08	4317.55
297.98	4351.36
297.88	4267.65
297.78	4352.26
297.68	4245.26
297.58	4121.79
297.48	4332.61
297.38	4162.95
297.28	3909.79
297.18	4008.92
297.08	3884.1
296.98	3785.16
296.88	3651.92
296.78	3602.55
296.68	3638.78
296.58	3527.54
296.48	3573.77
296.38	3466.68
296.28	3458.16
296.18	3443.53
296.08	3338.2
295.98	3269.79
295.88	3141.35
295.78	3098.3
295.68	3172.41
295.58	3066.89
295.48	2856.72
295.38	2905.09
295.28	2905.18
295.18	2978.61
295.08	3040.1
294.98	2885.65
294.88	2659.63
294.78	2698.18
294.68	2753
294.58	2714.65
294.48	2615.59
294.38	2614.09
294.28	2489.42
294.18	2506.89
294.08	2419.3
293.98	2379.45
293.88	2300.42
293.78	2194.66
293.68	2247.1
293.58	2127.48
293.48	1992.79
293.38	2065.95
293.28	2079.72
293.18	2005.38
293.08	1987.56
292.98	1921.48
292.88	1868.65
292.78	1848.6
292.68	1740.9
292.58	1646.45
292.48	1671.17
292.38	1657.22
292.28	1607.16
292.18	1407.11
292.08	1372.03
291.98	1471.45
291.88	1469.06
291.78	1416.35
291.68	1304.29
291.58	1300.06
291.48	1340.11
291.38	1261.94
291.28	1202.6
291.18	1201.07
291.08	1108.79
290.98	1127.39
290.88	1050.31
290.78	1030.19
290.68	1117.69
290.58	1013.29
290.48	971.228
290.38	993.768
290.28	942.957
290.18	879.882
290.08	851.951
289.98	794.868
289.88	771.459
289.78	812.475
289.68	827.811
289.58	769.428
289.48	716.687
289.38	766.477
289.28	750.77
289.18	777.011
289.08	801.981
288.98	819.738
288.88	850.32
288.78	913.966
288.68	1060.54
288.58	1200.39
288.48	1360.61
288.38	1698.52
288.28	2084.9
288.18	2723.66
288.08	3605.12
287.98	4532.09
287.88	5875.93
287.78	7382.1
287.68	8939.83
287.58	11041.5
287.48	13059.3
287.38	14808.1
287.28	16344.3
287.18	17131
287.08	17482.6
286.98	16938.8
286.88	16075.7
286.78	14021.5
286.68	11637.2
286.58	9646.03
286.48	7853.62
286.38	6352.33
286.28	5237.27
286.18	4646.86
286.08	4644.7
285.98	4753.19
285.88	5203.25
285.78	6214.88
285.68	7276.73
285.58	8392.21
285.48	10108.1
285.38	12077.6
285.28	13788.2
285.18	15299.7
285.08	16494.2
284.98	17757.6
284.88	18882.5
284.78	19808.5
284.68	20106.2
284.58	20566.8
284.48	21357.9
284.38	22249.7
284.28	23275
284.18	24991
284.08	27143.2
283.98	30088.9
283.88	32590
283.78	35232.6
283.68	37286.6
283.58	39659.7
283.48	42138.5
283.38	43235.4
283.28	43832.6
283.18	43340.7
283.08	42220.4
282.98	40359.5
282.88	38488.1
282.78	34605.5
282.68	30679.5
282.58	26084.9
282.48	21708.5
282.38	17677.1
282.28	13808.5
282.18	10630.7
282.08	8278.55
281.98	6077.48
281.88	4718.55
281.78	3478.4
281.68	2593.64
281.58	1979.97
281.48	1573.46
281.38	1179.59
281.28	1169.78
281.18	1005.18
281.08	779.912
280.98	693.427
280.88	751.661
280.78	740.456
280.68	659.024
280.58	682.573
280.48	601.04
280.38	634.394
280.28	584.714
280.18	587.975
280.08	607.273
279.98	648.509
279.88	559.784
279.78	521.389
279.68	532.353
279.58	504.172
279.48	477.961
279.38	441.257
279.28	428.441
279.18	532.063
279.08	528.411
