A	B
Binding Energy (E)	
eV	Counts / s
545.08	9232.77
544.98	9083.75
544.88	9075.83
544.78	9393.83
544.68	9080.87
544.58	9201.28
544.48	8883.57
544.38	8939.21
544.28	8938.6
544.18	8801.03
544.08	8837.13
543.98	8674.34
543.88	8670.39
543.78	8579.25
543.68	8555.83
543.58	8333.66
543.48	8450.47
543.38	8276.15
543.28	8190.77
543.18	8391.57
543.08	8078.67
542.98	8017.08
542.88	8136.18
542.78	8098.22
542.68	7920.01
542.58	7690.68
542.48	7708.36
542.38	7646.56
542.28	7643.7
542.18	7677.56
542.08	7447.67
541.98	7448.58
541.88	7621.19
541.78	7386.29
541.68	7138.64
541.58	7165.28
541.48	6927.11
541.38	6981.73
541.28	6906.51
541.18	6873.04
541.08	6898.29
540.98	6939.21
540.88	7066.3
540.78	6915
540.68	6901.23
540.58	6646.79
540.48	6752.19
540.38	6760.24
540.28	6477.73
540.18	6515.78
540.08	6511.29
539.98	6093.07
539.88	6318.16
539.78	6295.72
539.68	6188.39
539.58	6100.91
539.48	6091.78
539.38	6028.23
539.28	5995.03
539.18	6011.39
539.08	6010.98
538.98	5605.39
538.88	5977.77
538.78	5867.84
538.68	5617.3
538.58	5815.5
538.48	5668.32
538.38	5580.33
538.28	5742.26
538.18	5787.23
538.08	5703.43
537.98	5854
537.88	5969.42
537.78	6038.74
537.68	5859.41
537.58	5990.15
537.48	5839.02
537.38	5844.28
537.28	5688.09
537.18	5599.09
537.08	5662.39
536.98	5479.02
536.88	5317.64
536.78	5604.57
536.68	5600.08
536.58	5433.21
536.48	5361.83
536.38	5145.8
536.28	5144.58
536.18	5137.66
536.08	5229.93
535.98	5094.47
535.88	5087.32
535.78	5133.48
535.68	5032.13
535.58	5063.24
535.48	5169.2
535.38	5135.42
535.28	4979.67
535.18	5104.85
535.08	5188.34
534.98	5091.1
534.88	4957.88
534.78	5260.52
534.68	5381.08
534.58	5086.19
534.48	5208.57
534.38	5246.43
534.28	5376.06
534.18	5314.2
534.08	5489.4
533.98	5358.73
533.88	5632.15
533.78	5960.01
533.68	6304.64
533.58	6696.28
533.48	7358.81
533.38	8371.63
533.28	9245.14
533.18	10641.1
533.08	12196
532.98	14386.4
532.88	16913.3
532.78	19275.4
532.68	22606.9
532.58	26806.1
532.48	30383.7
532.38	33436.1
532.28	36234.2
532.18	39457.9
532.08	41126.8
531.98	42391
531.88	42710.9
531.78	41949.1
531.68	41295.9
531.58	39978.4
531.48	38182.1
531.38	37304.4
531.28	36209.7
531.18	36647.8
531.08	37403.4
530.98	38859.2
530.88	41502.4
530.78	44359.3
530.68	46885.7
530.58	49270
530.48	51271.4
530.38	51627.1
530.28	51427.7
530.18	48441.5
530.08	45018
529.98	41256.4
529.88	34944.4
529.78	29274
529.68	24488.3
529.58	20239.3
529.48	16313.5
529.38	13180.9
529.28	10815.7
529.18	8957.43
529.08	7992.01
528.98	7334.4
528.88	6656.68
528.78	6106.56
528.68	5782.21
528.58	5820.69
528.48	5653.99
528.38	5247.51
528.28	5324.52
528.18	4973.5
528.08	5204.07
527.98	5169.99
527.88	5047.66
527.78	5085.11
527.68	4937.72
527.58	4917.71
527.48	4972.11
527.38	4838.03
527.28	4810.7
527.18	4845.21
527.08	4811.73
526.98	4906.28
526.88	4881.86
526.78	4901.21
526.68	4926.69
526.58	4883.04
526.48	4892.1
526.38	4832.39
526.28	4682.42
526.18	4694.75
526.08	4738.94
525.98	4962.61
525.88	4901.61
525.78	4707.15
525.68	4833.54
525.58	4783.19
525.48	4571.93
525.38	4547.81
525.28	4647.78
525.18	4709.47
525.08	4622.38
