A	B
Binding Energy (E)	
eV	Counts / s
110.08	494.148
109.98	482.208
109.88	474.225
109.78	531.237
109.68	507.718
109.58	493.833
109.48	486.66
109.38	477.426
109.28	499.84
109.18	438.04
109.08	487.91
108.98	470.138
108.88	471.584
108.78	481.978
108.68	449.005
108.58	478.591
108.48	523.064
108.38	526.561
108.28	495.578
108.18	482.228
108.08	464.301
107.98	467.612
107.88	488.38
107.78	471.699
107.68	490.316
107.58	468.717
107.48	417.192
107.38	494.583
107.28	517.497
107.18	482.888
107.08	465.471
106.98	486.95
106.88	524.43
106.78	528.246
106.68	486.68
106.58	446.624
106.48	486.76
106.38	502.611
106.28	445.463
106.18	458.683
106.08	529.512
105.98	481.378
105.88	499.91
105.78	493.182
105.68	471.093
105.58	497.959
105.48	483.048
105.38	489.986
105.28	471.944
105.18	483.048
105.08	461.54
104.98	434.139
104.88	471.314
104.78	395.968
104.68	445.128
104.58	461.194
104.48	517.227
104.38	485.299
104.28	458.093
104.18	503.596
104.08	487.965
103.98	475.2
103.88	463.53
103.78	425.765
103.68	409.849
103.58	482.323
103.48	465.271
103.38	502.001
103.28	514.181
103.18	512.415
103.08	507.763
102.98	491.527
102.88	505.882
102.78	504.872
102.68	466.742
102.58	465.801
102.48	546.799
102.38	554.552
102.28	595.238
102.18	543.742
102.08	570.608
101.98	662.81
101.88	676.025
101.78	682.833
101.68	788.55
101.58	799.955
101.48	868.332
101.38	885.909
101.28	1029.35
101.18	1233.03
101.08	1339.52
100.98	1455.64
100.88	1616.72
100.78	1852.94
100.68	1946.14
100.58	2138.82
100.48	2277.39
100.38	2376.79
100.28	2528.84
100.18	2570
100.08	2678.82
99.98	2773.54
99.88	2700
99.78	2553.39
99.68	2363
99.58	2172.49
99.48	1975.7
99.38	1710.01
99.28	1398.14
99.18	1280.53
99.08	1119.01
98.98	879.997
98.88	720.503
98.78	686.855
98.68	627.341
98.58	599.38
98.48	522.454
98.38	509.114
98.28	506.328
98.18	510.084
98.08	511.93
97.98	510.374
97.88	497.664
97.78	485.569
97.68	490.376
97.58	502.991
97.48	542.062
97.38	510.884
97.28	482.998
97.18	469.043
97.08	492.607
96.98	478.596
96.88	484.309
96.78	515.576
96.68	526.311
96.58	503.226
96.48	499.17
96.38	453.151
96.28	473.274
96.18	492.952
96.08	489.516
95.98	518.747
95.88	546.809
95.78	510.224
95.68	506.778
95.58	517.102
95.48	469.138
95.38	460.079
95.28	461.71
95.18	493.297
95.08	447.334
