A	B
Binding Energy (E)	
eV	Counts / s
298.08	4775.57
297.98	4732.78
297.88	4868.2
297.78	4850.86
297.68	4554.2
297.58	4402.38
297.48	4467.49
297.38	4451.28
297.28	4262
297.18	4206.68
297.08	4118.41
296.98	4088.93
296.88	4142.16
296.78	4111.46
296.68	4071.4
296.58	3814.34
296.48	3893.06
296.38	3678.82
296.28	3539.33
296.18	3491.06
296.08	3637.79
295.98	3457.29
295.88	3407.23
295.78	3504.66
295.68	3448.26
295.58	3309.15
295.48	3334.89
295.38	3145.58
295.28	3267.07
295.18	3180.63
295.08	3129.64
294.98	3133.14
294.88	3063.67
294.78	2994.75
294.68	2951.53
294.58	2815.21
294.48	2824.27
294.38	2794.29
294.28	2751.03
294.18	2634.29
294.08	2676.43
293.98	2687.09
293.88	2636.4
293.78	2618.19
293.68	2499.29
293.58	2343.49
293.48	2271.41
293.38	2224.9
293.28	2152.55
293.18	2175.85
293.08	2233.64
292.98	2200.04
292.88	1986.07
292.78	1956.74
292.68	1933.35
292.58	2024.76
292.48	1879.85
292.38	1855.29
292.28	1746.83
292.18	1766.76
292.08	1725.38
291.98	1765.73
291.88	1591.82
291.78	1541.91
291.68	1444.98
291.58	1437.48
291.48	1402.52
291.38	1335.53
291.28	1345.48
291.18	1236.91
291.08	1243.46
290.98	1202.85
290.88	1123.7
290.78	1135.47
290.68	1091.54
290.58	1044.39
290.48	965.506
290.38	1043.64
290.28	1055.61
290.18	1059.99
290.08	1090.13
289.98	986.785
289.88	914.006
289.78	921.599
289.68	839.756
289.58	785.304
289.48	819.908
289.38	810.354
289.28	771.999
289.18	900.6
289.08	974.9
288.98	945.858
288.88	1050.55
288.78	1142.72
288.68	1305.95
288.58	1508.05
288.48	1866.32
288.38	2346.91
288.28	2882.22
288.18	3881.94
288.08	5082.8
287.98	6438.58
287.88	8465.68
287.78	10943.9
287.68	13364.1
287.58	15710.4
287.48	18144.6
287.38	20336.2
287.28	22107.5
287.18	22342.5
287.08	21967.8
286.98	20498
286.88	18530.5
286.78	16130
286.68	13548.4
286.58	10782.6
286.48	8452.27
286.38	6947.65
286.28	6196.34
286.18	5663.17
286.08	5969.71
285.98	6463.69
285.88	7331.68
285.78	8584.89
285.68	10231.2
285.58	12478.9
285.48	14670.9
285.38	16590.6
285.28	18523.1
285.18	20113.4
285.08	21386.1
284.98	22579.3
284.88	23509.4
284.78	24425.2
284.68	24851.9
284.58	25621
284.48	27106.2
284.38	28317.4
284.28	30004.6
284.18	32431.4
284.08	35737.4
283.98	39332.5
283.88	42793.1
283.78	45449.8
283.68	47855.2
283.58	49591
283.48	50842
283.38	51971.3
283.28	51490.8
283.18	49757.8
283.08	46840.9
282.98	42733.1
282.88	38483.8
282.78	33639.1
282.68	28404.6
282.58	22951.6
282.48	17361.4
282.38	13144.9
282.28	9743.31
282.18	7166.26
282.08	5226.29
281.98	3634.05
281.88	2560.27
281.78	2111.4
281.68	1699.88
281.58	1375.08
281.48	1108.11
281.38	957.313
281.28	907.113
281.18	866.697
281.08	880.662
280.98	725.13
280.88	714.616
280.78	766.357
280.68	739.326
280.58	628.601
280.48	593.107
280.38	579.762
280.28	625.62
280.18	589.266
280.08	558.063
279.98	588.515
279.88	607.343
279.78	574.31
279.68	505.152
279.58	587.935
279.48	523.139
279.38	522.279
279.28	562.145
279.18	600.41
279.08	573.489
