A	B
Binding Energy (E)	
eV	Counts / s
545.08	10457.8
544.98	10241.3
544.88	10189.6
544.78	10414.9
544.68	10029.2
544.58	10105.5
544.48	10019.7
544.38	9880.79
544.28	9501.56
544.18	9434.27
544.08	9624.49
543.98	9706.54
543.88	9577.36
543.78	9637.37
543.68	9032.83
543.58	9122.19
543.48	9231.05
543.38	9058.61
543.28	9056.2
543.18	9232.2
543.08	8990.85
542.98	9042.83
542.88	8640.82
542.78	8750.64
542.68	8517.98
542.58	8552.93
542.48	8370.17
542.38	8375.69
542.28	8506.7
542.18	8504.88
542.08	7988.74
541.98	8158.83
541.88	8325.78
541.78	8077.78
541.68	8080.11
541.58	8103.72
541.48	7935.33
541.38	7572.08
541.28	7647.67
541.18	7816.87
541.08	8000.48
540.98	7885.61
540.88	7806.08
540.78	7633.26
540.68	7569.01
540.58	7471.89
540.48	7569.01
540.38	7290.71
540.28	7405.85
540.18	7366.64
540.08	7198.12
539.98	7103.21
539.88	7121.34
539.78	7001.36
539.68	6873.09
539.58	6926.01
539.48	6971.94
539.38	6746.22
539.28	6615.23
539.18	6656.53
539.08	6592.3
538.98	6584.62
538.88	6510.31
538.78	6656.22
538.68	6602
538.58	6553.51
538.48	6644.97
538.38	6656.97
538.28	6750.58
538.18	6704.55
538.08	6535.74
537.98	6825.45
537.88	6874.25
537.78	6658.26
537.68	6761.34
537.58	6788.52
537.48	6456.04
537.38	6523.15
537.28	6392.44
537.18	6482.59
537.08	6478.6
536.98	6100.42
536.88	6176.2
536.78	6139.94
536.68	6230.38
536.58	6112.96
536.48	5875.38
536.38	5965.02
536.28	6044.48
536.18	5692.76
536.08	5635.58
535.98	5743.6
535.88	5717.3
535.78	5762.01
535.68	5735.08
535.58	5557.39
535.48	5440.92
535.38	5519.01
535.28	5606.82
535.18	5936.35
535.08	5794.82
534.98	5831.35
534.88	5803.92
534.78	5888.16
534.68	5844.33
534.58	6065.01
534.48	5854.44
534.38	6005.99
534.28	6033.43
534.18	6206.19
534.08	6387.57
533.98	6355.87
533.88	6716.14
533.78	7324.19
533.68	8112.23
533.58	8861.24
533.48	9818.22
533.38	11160.7
533.28	12922.7
533.18	15007.2
533.08	17667
532.98	20955.8
532.88	24226.5
532.78	28262.8
532.68	33053.5
532.58	37679.8
532.48	42296.9
532.38	46237.3
532.28	49064.1
532.18	51322.1
532.08	52869.3
531.98	53661.8
531.88	52877.6
531.78	51124.7
531.68	50128.9
531.58	47283.2
531.48	45015.7
531.38	43230.3
531.28	42424.3
531.18	42522.5
531.08	43478.5
530.98	45463.9
530.88	47018.7
530.78	49410.3
530.68	52022.6
530.58	53127.5
530.48	53534.9
530.38	53112.1
530.28	49973.8
530.18	46627
530.08	42026.3
529.98	37184.2
529.88	31849.4
529.78	26621.9
529.68	22072.1
529.58	17907.5
529.48	14524.8
529.38	11815.6
529.28	10141.5
529.18	8800.42
529.08	7784.74
528.98	7021.86
528.88	6763.11
528.78	6360.31
528.68	5998.29
528.58	5993.52
528.48	5952.12
528.38	5926.71
528.28	5565.73
528.18	5807.29
528.08	5725.14
527.98	5656.36
527.88	5591.27
527.78	5650.65
527.68	5520.45
527.58	5522.61
527.48	5617.43
527.38	5508.08
527.28	5476.81
527.18	5421.97
527.08	5493.41
526.98	5594.71
526.88	5568.72
526.78	5352.02
526.68	5041.54
526.58	5087.51
526.48	5229.79
526.38	5240.79
526.28	5304.19
526.18	5435.14
526.08	5358.11
525.98	5458.66
525.88	5428.07
525.78	5289.26
525.68	5210.18
525.58	5341.01
525.48	5310.52
525.38	5289.25
525.28	5112.3
525.18	5160.27
525.08	5101.23
