A	B
Binding Energy (E)	
eV	Counts / s
110.08	552.076
109.98	513.74
109.88	478.696
109.78	530.447
109.68	578.741
109.58	563.09
109.48	550.435
109.38	562.51
109.28	550.98
109.18	508.969
109.08	521.809
108.98	517.167
108.88	518.577
108.78	514.661
108.68	525.84
108.58	560.589
108.48	519.143
108.38	531.212
108.28	531.603
108.18	543.192
108.08	526.155
107.98	495.398
107.88	493.923
107.78	491.747
107.68	510.879
107.58	549.06
107.48	501.901
107.38	521.248
107.28	576.541
107.18	508.253
107.08	509.184
106.98	521.949
106.88	559.644
106.78	545.098
106.68	529.672
106.58	509.644
106.48	536.88
106.38	521.404
106.28	540.371
106.18	541.567
106.08	486.59
105.98	520.718
105.88	505.972
105.78	458.899
105.68	485.794
105.58	547.659
105.48	528.651
105.38	519.063
105.28	538.475
105.18	534.724
105.08	526.566
104.98	567.462
104.88	577.621
104.78	527.986
104.68	533.388
104.58	528.141
104.48	548.104
104.38	536.114
104.28	530.307
104.18	536.475
104.08	579.697
103.98	530.467
103.88	553.661
103.78	572.844
103.68	538.771
103.58	522.364
103.48	514.051
103.38	508.003
103.28	559.384
103.18	565.981
103.08	520.643
102.98	503.676
102.88	531.247
102.78	540.161
102.68	555.452
102.58	507.233
102.48	533.979
102.38	551.01
102.28	529.352
102.18	529.212
102.08	489.256
101.98	515.071
101.88	564.936
101.78	571.043
101.68	561.97
101.58	568.517
101.48	559.604
101.38	543.873
101.28	539.001
101.18	537.125
101.08	537.705
100.98	523.76
100.88	526.841
100.78	513.35
100.68	566.292
100.58	503.917
100.48	525.215
100.38	530.857
100.28	541.602
100.18	566.827
100.08	547.239
99.98	525.415
99.88	524.28
99.78	508.293
99.68	517.792
99.58	538.961
99.48	556.753
99.38	548.8
99.28	534.659
99.18	578.892
99.08	553.887
98.98	528.741
98.88	523.494
98.78	548.324
98.68	542.317
98.58	575.995
98.48	531.172
98.38	534.759
98.28	524.37
98.18	548.604
98.08	548.785
97.98	526.721
97.88	507.498
97.78	542.217
97.68	531.112
97.58	509.224
97.48	508.498
97.38	561.64
97.28	514.981
97.18	531.433
97.08	532.803
96.98	538.856
96.88	526.771
96.78	505.837
96.68	541.542
96.58	528.601
96.48	565.166
96.38	528.701
96.28	532.828
96.18	538.725
96.08	547.999
95.98	525.99
95.88	536.725
95.78	535.814
95.68	537.99
95.58	497.959
95.48	532.948
95.38	550.545
95.28	514.991
95.18	517.472
95.08	508.698
