A	B
Binding Energy (E)	
eV	Counts / s
298.08	4459.78
297.98	4453.1
297.88	4342.18
297.78	4226.28
297.68	4155.31
297.58	4254.59
297.48	4159.28
297.38	4106.95
297.28	3986.04
297.18	3807.03
297.08	3881.28
296.98	3890.44
296.88	3767.71
296.78	3610.85
296.68	3512.85
296.58	3602.18
296.48	3550.16
296.38	3625.82
296.28	3530.68
296.18	3338.95
296.08	3155.34
295.98	3226.41
295.88	3179.6
295.78	3041.63
295.68	3037.27
295.58	2899.41
295.48	3057.56
295.38	3099.22
295.28	2988.18
295.18	2862.66
295.08	2870.13
294.98	2750.89
294.88	2712.03
294.78	2590.72
294.68	2720.53
294.58	2669.69
294.48	2631.95
294.38	2546.15
294.28	2530.94
294.18	2432.15
294.08	2332.91
293.98	2246.19
293.88	2291.66
293.78	2409.43
293.68	2274.42
293.58	2169.54
293.48	2091.3
293.38	2086.1
293.28	1921.58
293.18	1919.82
293.08	2009.66
292.98	1907.43
292.88	1873.31
292.78	1844.46
292.68	1820.7
292.58	1805.61
292.48	1735.63
292.38	1619.8
292.28	1443.81
292.18	1430.9
292.08	1473.7
291.98	1415.47
291.88	1353.69
291.78	1376.42
291.68	1433.21
291.58	1347.33
291.48	1264.7
291.38	1189.02
291.28	1145.74
291.18	1186.67
291.08	1195.42
290.98	1156.65
290.88	1097.18
290.78	1058.65
290.68	990.396
290.58	918.397
290.48	1016.8
290.38	961.224
290.28	919.948
290.18	779.662
290.08	753.772
289.98	853.731
289.88	811.445
289.78	675.27
289.68	759.184
289.58	799.16
289.48	794.168
289.38	755.032
289.28	634.804
289.18	760.634
289.08	759.784
288.98	800.7
288.88	915.706
288.78	1007.95
288.68	1074.38
288.58	1337.25
288.48	1606.15
288.38	1826.6
288.28	2363.87
288.18	2948.37
288.08	3792.05
287.98	4649.22
287.88	6150.22
287.78	7548.8
287.68	9364.3
287.58	11228
287.48	12859.6
287.38	14266.1
287.28	15565
287.18	16574.9
287.08	16830.4
286.98	16127.8
286.88	14955.2
286.78	13090.4
286.68	11239
286.58	8939.6
286.48	7347.65
286.38	5946.42
286.28	4987.26
286.18	4623.08
286.08	4432.22
285.98	4886.33
285.88	5270.4
285.78	6229.53
285.68	7610.16
285.58	8598.55
285.48	10159
285.38	11912.2
285.28	13425.7
285.18	15058.6
285.08	16390.4
284.98	17826.8
284.88	18367.8
284.78	19014.7
284.68	19998.7
284.58	20659.6
284.48	20868.5
284.38	22019.1
284.28	23574.2
284.18	25081
284.08	27366
283.98	30230.5
283.88	32841.8
283.78	34893.3
283.68	36727.7
283.58	39070.8
283.48	40820.5
283.38	41449.2
283.28	42419.8
283.18	42153
283.08	41436.9
282.98	40161.7
282.88	37722.8
282.78	33755.2
282.68	30003.8
282.58	25725.1
282.48	21543.7
282.38	17787.8
282.28	14061.2
282.18	10981.9
282.08	8424.87
281.98	6489.04
281.88	5064.5
281.78	3707.52
281.68	2888.23
281.58	2168.91
281.48	1593.55
281.38	1297.88
281.28	1050.83
281.18	1037.38
281.08	857.753
280.98	682.263
280.88	706.873
280.78	696.789
280.68	614.646
280.58	643.677
280.48	641.687
280.38	549.75
280.28	541.597
280.18	513.725
280.08	520.558
279.98	573.649
279.88	508.774
279.78	496.188
279.68	488.595
279.58	500.08
279.48	533.723
279.38	560.634
279.28	530.552
279.18	494.818
279.08	446.919
