A	B
Binding Energy (E)	
eV	Counts / s
545.08	9417.15
544.98	9142.59
544.88	8912.26
544.78	9066.91
544.68	8912.2
544.58	8942.6
544.48	8904.78
544.38	8830.24
544.28	8755.27
544.18	8653.13
544.08	8639.6
543.98	8383.45
543.88	8596.05
543.78	8671.55
543.68	8664.06
543.58	8171.24
543.48	8247.32
543.38	8178.75
543.28	8151.13
543.18	8101.69
543.08	8265.29
542.98	8075.56
542.88	7930.35
542.78	7827.25
542.68	8038.94
542.58	8028.9
542.48	7770.44
542.38	7833.31
542.28	7650.81
542.18	7689.92
542.08	7590.79
541.98	7556.89
541.88	7184.93
541.78	7112.64
541.68	7361.98
541.58	7347.23
541.48	6931.57
541.38	6938.67
541.28	7083.25
541.18	6947.4
541.08	6924.21
540.98	6994.04
540.88	6791.33
540.78	6782.64
540.68	6809.08
540.58	6710.85
540.48	6718.87
540.38	6739.86
540.28	6701.72
540.18	6553.05
540.08	6381.25
539.98	6327.74
539.88	6220.46
539.78	6118.49
539.68	6111.72
539.58	6192.5
539.48	5998.19
539.38	5969.32
539.28	5997.77
539.18	6003.27
539.08	5934.2
538.98	5769.31
538.88	5943.09
538.78	5948.51
538.68	5793.87
538.58	5829.42
538.48	5725.38
538.38	5810.84
538.28	5947.96
538.18	5930.91
538.08	5760.17
537.98	5772.57
537.88	5910.22
537.78	5812.95
537.68	5827.72
537.58	5700.67
537.48	5822.94
537.38	5763.97
537.28	5679.94
537.18	5634.47
537.08	5611.52
536.98	5378.95
536.88	5446.29
536.78	5497.94
536.68	5387.28
536.58	5305.07
536.48	5169.43
536.38	5099.41
536.28	5194.19
536.18	5271.43
536.08	5067.76
535.98	5170.69
535.88	4935.98
535.78	4878.34
535.68	5140.36
535.58	4970.62
535.48	5064.3
535.38	5238.09
535.28	5193.73
535.18	5161.48
535.08	5333.39
534.98	5100.25
534.88	5113.11
534.78	5097.32
534.68	5057.15
534.58	5038.03
534.48	5090.18
534.38	5190
534.28	5280.92
534.18	5196.32
534.08	5519.74
533.98	5766.75
533.88	5677.69
533.78	6098.44
533.68	6480.77
533.58	6834.24
533.48	7341.77
533.38	7844.7
533.28	9064.39
533.18	10385.3
533.08	11866
532.98	14150.8
532.88	16495.9
532.78	19524.4
532.68	22186.4
532.58	26030.6
532.48	29749.3
532.38	32766.2
532.28	35617.7
532.18	38395.1
532.08	40180.9
531.98	40842.9
531.88	41615.5
531.78	41547.5
531.68	40642.1
531.58	38905.3
531.48	37669.7
531.38	36573.9
531.28	36172.7
531.18	36554.4
531.08	36960.2
530.98	39508.2
530.88	42395.9
530.78	44656.5
530.68	48032.7
530.58	50588.3
530.48	52487.5
530.38	53071.8
530.28	52104.7
530.18	49688.4
530.08	45070
529.98	40474.5
529.88	35541.5
529.78	30153.6
529.68	24931.5
529.58	20518.1
529.48	16121.2
529.38	12754.1
529.28	10609.3
529.18	9153.17
529.08	7901.52
528.98	7025.43
528.88	6560.36
528.78	5897.63
528.68	5709.55
528.58	5631.38
528.48	5391.32
528.38	5329.05
528.28	5198.57
528.18	5150.49
528.08	5057.6
527.98	5118.14
527.88	4950.87
527.78	5082.79
527.68	5194.5
527.58	5029.68
527.48	4866
527.38	4720.48
527.28	4766.14
527.18	4755.42
527.08	4828.63
526.98	4703.61
526.88	4743.26
526.78	4997.13
526.68	5043.31
526.58	4932.01
526.48	4783.08
526.38	4754.98
526.28	4638.46
526.18	4828.12
526.08	4797.72
525.98	4750.3
525.88	4864.48
525.78	4788.59
525.68	4726.2
525.58	4692.07
525.48	4640.53
525.38	4617.43
525.28	4595.51
525.18	4634.87
525.08	4700.83
