A	B
Binding Energy (E)	
eV	Counts / s
110.08	473.034
109.98	446.479
109.88	507.003
109.78	512.785
109.68	562.115
109.58	526.961
109.48	495.303
109.38	544.363
109.28	505.602
109.18	524.02
109.08	500.4
108.98	469.973
108.88	492.557
108.78	476.651
108.68	482.243
108.58	493.642
108.48	485.579
108.38	486.635
108.28	521.073
108.18	488.971
108.08	481.253
107.98	502.736
107.88	495.178
107.78	459.654
107.68	479.262
107.58	487.91
107.48	476.306
107.38	470.273
107.28	456.563
107.18	444.233
107.08	446.869
106.98	479.242
106.88	471.974
106.78	482.038
106.68	469.933
106.58	457.423
106.48	508.318
106.38	461.71
106.28	451.891
106.18	513.185
106.08	498.159
105.98	503.691
105.88	471.509
105.78	482.178
105.68	490.246
105.58	456.658
105.48	473.319
105.38	485.404
105.28	482.928
105.18	430.962
105.08	480.392
104.98	479.802
104.88	481.833
104.78	501.456
104.68	471.834
104.58	487.185
104.48	509.349
104.38	517.992
104.28	494.133
104.18	483.253
104.08	511.209
103.98	477.006
103.88	466.141
103.78	465.541
103.68	464.356
103.58	489.806
103.48	423.539
103.38	462.52
103.28	490.796
103.18	458.598
103.08	556.688
102.98	513.395
102.88	506.793
102.78	483.839
102.68	526.441
102.58	520.838
102.48	568.017
102.38	599.92
102.28	619.533
102.18	599.095
102.08	625.585
101.98	729.042
101.88	758.518
101.78	813.11
101.68	781.733
101.58	886.079
101.48	968.747
101.38	1142.31
101.28	1255.23
101.18	1357.76
101.08	1502.33
100.98	1789.88
100.88	1892.24
100.78	2026.42
100.68	2262.51
100.58	2432.8
100.48	2566.06
100.38	2831.16
100.28	3042.88
100.18	3111.27
100.08	3098.65
99.98	3038.55
99.88	3011.47
99.78	2819.1
99.68	2716.88
99.58	2464.98
99.48	2160.88
99.38	1861.81
99.28	1559.9
99.18	1326.04
99.08	1097.03
98.98	915.176
98.88	742.792
98.78	666.962
98.68	633.108
98.58	598.8
98.48	546.609
98.38	507.263
98.28	518.002
98.18	481.778
98.08	499.76
97.98	500.94
97.88	516.977
97.78	468.953
97.68	490.231
97.58	476.956
97.48	519.518
97.38	483.388
97.28	441.507
97.18	455.522
97.08	471.659
96.98	498.354
96.88	501.396
96.78	460.314
96.68	473.069
96.58	489.511
96.48	516.166
96.38	517.567
96.28	527.146
96.18	517.967
96.08	479.027
95.98	485.609
95.88	456.738
95.78	501.331
95.68	471.879
95.58	483.979
95.48	516.597
95.38	489.716
95.28	507.323
95.18	452.506
95.08	430.032
