A	B
Binding Energy (E)	
eV	Counts / s
298.08	4877.59
297.98	4640.44
297.88	4575.58
297.78	4541.58
297.68	4624.62
297.58	4659.51
297.48	4509.69
297.38	4308.88
297.28	4206
297.18	4197.45
297.08	4240.9
296.98	4207.57
296.88	4030.86
296.78	4206.51
296.68	4015.5
296.58	3908.16
296.48	3841.01
296.38	3877.76
296.28	3771.12
296.18	3412.88
296.08	3558.39
295.98	3561.54
295.88	3439.6
295.78	3339.1
295.68	3300.9
295.58	3270.45
295.48	3471.87
295.38	3334.55
295.28	3186.66
295.18	3236.04
295.08	3140.28
294.98	2996.94
294.88	3141.72
294.78	3163.09
294.68	2962.91
294.58	2935.95
294.48	2829.62
294.38	2830.28
294.28	2787.6
294.18	2735.42
294.08	2682.67
293.98	2776.34
293.88	2656.03
293.78	2468.53
293.68	2386.82
293.58	2396.3
293.48	2245.11
293.38	2295.55
293.28	2204.27
293.18	2209.47
293.08	2186.45
292.98	2178.54
292.88	2084.87
292.78	2012.66
292.68	1998.78
292.58	1875.25
292.48	1905.83
292.38	1801.44
292.28	1830.84
292.18	1736.29
292.08	1708.14
291.98	1626.68
291.88	1594.87
291.78	1459.81
291.68	1424.28
291.58	1449.51
291.48	1452.71
291.38	1332.48
291.28	1282.59
291.18	1250.12
291.08	1223.84
290.98	1236.22
290.88	1230.96
290.78	1097.05
290.68	1044.09
290.58	1094.72
290.48	1112.1
290.38	1002.28
290.28	968.257
290.18	990.536
290.08	916.587
289.98	909.754
289.88	963.836
289.78	866.427
289.68	835.494
289.58	826.22
289.48	850.39
289.38	934.654
289.28	884.594
289.18	865.956
289.08	890.936
288.98	927.371
288.88	1080.72
288.78	1211.61
288.68	1417.95
288.58	1549.13
288.48	1797.61
288.38	2322.9
288.28	3051.41
288.18	3797.54
288.08	5232.54
287.98	7036.21
287.88	8520.81
287.78	10738.8
287.68	13257.8
287.58	15631.4
287.48	18283.8
287.38	20488.7
287.28	21751.8
287.18	22184
287.08	21808.4
286.98	20333.8
286.88	18237.5
286.78	15588.7
286.68	12791.2
286.58	10378.5
286.48	8366.34
286.38	7096.53
286.28	6118.49
286.18	5859.16
286.08	5750.35
285.98	6441.3
285.88	7253.66
285.78	8773.83
285.68	10515
285.58	12576.1
285.48	14417.6
285.38	16502.8
285.28	18088.8
285.18	19871.5
285.08	21391.5
284.98	22450.4
284.88	23182
284.78	24530.9
284.68	25350.1
284.58	25942.4
284.48	26701.1
284.38	28175.5
284.28	30275.8
284.18	32917.5
284.08	36032.4
283.98	38933.7
283.88	42153
283.78	44917.2
283.68	47709.6
283.58	49769.8
283.48	50588.2
283.38	50974.7
283.28	50901.9
283.18	49402.6
283.08	46507.7
282.98	43100.3
282.88	38578.6
282.78	33121.9
282.68	28113.2
282.58	22372.1
282.48	17597.4
282.38	13347.2
282.28	9716.21
282.18	7390.86
282.08	5415.47
281.98	3740.8
281.88	2935.38
281.78	2101.31
281.68	1634.84
281.58	1350.17
281.48	1149.06
281.38	1032.71
281.28	963.846
281.18	944.678
281.08	896.779
280.98	789.926
280.88	753.571
280.78	654.392
280.68	685.824
280.58	658.613
280.48	641.036
280.38	670.248
280.28	668.697
280.18	644.748
280.08	602.721
279.98	638.215
279.88	626.321
279.78	630.472
279.68	619.628
279.58	526.751
279.48	511.204
279.38	489.496
279.28	535.624
279.18	537.765
279.08	556.933
