A	B
Binding Energy (E)	
eV	Counts / s
545.08	10363.6
544.98	10329.2
544.88	10171.6
544.78	10002.1
544.68	10044.6
544.58	10074.8
544.48	10181.5
544.38	10061.3
544.28	9831.46
544.18	9684.05
544.08	9624.03
543.98	9648.89
543.88	9684.77
543.78	9448.96
543.68	9334.49
543.58	8942.81
543.48	9042.78
543.38	8991.37
543.28	8690.52
543.18	8786.21
543.08	8728.15
542.98	9018.05
542.88	8913.88
542.78	8826.8
542.68	8637.93
542.58	8666.32
542.48	8480.3
542.38	8207.32
542.28	8202.48
542.18	8336.57
542.08	8155.58
541.98	8300.84
541.88	8096.67
541.78	8057.04
541.68	7932.09
541.58	7831.25
541.48	7893.64
541.38	7781.15
541.28	7785.47
541.18	7588.52
541.08	7703.95
540.98	7718.93
540.88	7740.43
540.78	7646.26
540.68	7540.64
540.58	7392.1
540.48	7580.82
540.38	7549.42
540.28	7329.93
540.18	7340.83
540.08	7386.27
539.98	7223.86
539.88	7232.76
539.78	7005.32
539.68	7022.4
539.58	7168.42
539.48	6846.22
539.38	6853.28
539.28	6597.57
539.18	6776.89
539.08	6767.32
538.98	6844.19
538.88	6641.12
538.78	6716.85
538.68	6510.61
538.58	6359.04
538.48	6344.82
538.38	6513.04
538.28	6569.58
538.18	6577.21
538.08	6706.88
537.98	6774.05
537.88	6923.21
537.78	6716.17
537.68	6684.37
537.58	6722.54
537.48	6624.02
537.38	6714.32
537.28	6638.6
537.18	6445.68
537.08	6396.88
536.98	6349.9
536.88	6200.93
536.78	6136.32
536.68	6260.96
536.58	5979.91
536.48	5790.01
536.38	5795.47
536.28	5755.02
536.18	5887.77
536.08	5921.97
535.98	5676.85
535.88	5714.32
535.78	5643.68
535.68	5644.79
535.58	5689.26
535.48	5673.03
535.38	5822.43
535.28	5876.34
535.18	5669.5
535.08	5650.43
534.98	6018.89
534.88	6120.7
534.78	6230.54
534.68	6148.74
534.58	6119.12
534.48	6119.93
534.38	6138.46
534.28	6275.45
534.18	6385.6
534.08	6540.67
533.98	6545.27
533.88	6756.1
533.78	7301.2
533.68	7880.61
533.58	8745.07
533.48	10020.6
533.38	11301.7
533.28	12863.7
533.18	14841.8
533.08	17667.9
532.98	20834.5
532.88	24169.7
532.78	27688.2
532.68	32500.3
532.58	37212.1
532.48	41760.2
532.38	45822.3
532.28	48873.3
532.18	51777.1
532.08	53381.3
531.98	53650.2
531.88	52783.4
531.78	51438.9
531.68	48997
531.58	46584.3
531.48	44872
531.38	43210.4
531.28	42283.6
531.18	42317.8
531.08	43510.3
530.98	45018.5
530.88	47097.4
530.78	49795.2
530.68	52573.2
530.58	53909.7
530.48	54362.6
530.38	53561.4
530.28	50963.4
530.18	47809.7
530.08	43496.6
529.98	37346.8
529.88	31732.5
529.78	26156.3
529.68	21875
529.58	18108.2
529.48	14707.8
529.38	12061
529.28	10118.7
529.18	8638.07
529.08	7738.21
528.98	7275.29
528.88	6651.72
528.78	6515.03
528.68	6278.5
528.58	6160.19
528.48	6144.96
528.38	5964.69
528.28	5839.05
528.18	5926.2
528.08	5513.89
527.98	5741.69
527.88	5560.78
527.78	5526.69
527.68	5453.45
527.58	5387.8
527.48	5520.65
527.38	5739.43
527.28	5692.17
527.18	5316.17
527.08	5299.74
526.98	5410.76
526.88	5434.34
526.78	5448.16
526.68	5314.66
526.58	5394.63
526.48	5351.86
526.38	5203.9
526.28	5368.96
526.18	5166.58
526.08	5206.49
525.98	5431.65
525.88	5254.2
525.78	5366.76
525.68	5301.42
525.58	5263.43
525.48	5437.19
525.38	5365.19
525.28	5250.62
525.18	5169.18
525.08	5162.56
