A	B
Binding Energy (E)	
eV	Counts / s
110.08	510.244
109.98	501.401
109.88	536.815
109.78	560.794
109.68	526.391
109.58	550.05
109.48	583.874
109.38	559.554
109.28	565.516
109.18	548.349
109.08	570.198
108.98	502.131
108.88	522.109
108.78	514.941
108.68	484.104
108.58	512.42
108.48	501.306
108.38	497.514
108.28	553.311
108.18	550.045
108.08	513.761
107.98	522.904
107.88	527.526
107.78	508.914
107.68	520.703
107.58	539.476
107.48	515.116
107.38	530.117
107.28	540.691
107.18	518.783
107.08	536.505
106.98	546.839
106.88	585.349
106.78	579.172
106.68	553.501
106.58	568.537
106.48	512.39
106.38	576.626
106.28	564.716
106.18	555.407
106.08	532.528
105.98	497.479
105.88	503.817
105.78	517.757
105.68	489.486
105.58	505.762
105.48	511.199
105.38	516.852
105.28	510.094
105.18	521.028
105.08	507.383
104.98	541.922
104.88	527.556
104.78	553.066
104.68	543.482
104.58	499.785
104.48	542.117
104.38	535.844
104.28	514.831
104.18	557.108
104.08	562.585
103.98	530.627
103.88	494.873
103.78	500.25
103.68	512
103.58	535.174
103.48	531.788
103.38	523.579
103.28	574.43
103.18	564.271
103.08	513.2
102.98	518.527
102.88	513.966
102.78	480.147
102.68	524.89
102.58	525.57
102.48	554.282
102.38	572.659
102.28	573.269
102.18	565.336
102.08	509.109
101.98	513.015
101.88	541.412
101.78	585.374
101.68	602.136
101.58	578.746
101.48	578.541
101.38	566.262
101.28	603.106
101.18	694.508
101.08	690.646
100.98	687.985
100.88	688.826
100.78	703.561
100.68	754.847
100.58	696.399
100.48	675.015
100.38	699.81
100.28	742.832
100.18	687.335
100.08	747.649
99.98	733.383
99.88	695.903
99.78	724.65
99.68	698.564
99.58	673.84
99.48	669.068
99.38	651.015
99.28	608.328
99.18	598.094
99.08	589.516
98.98	574.22
98.88	536.285
98.78	501.461
98.68	484.064
98.58	500.67
98.48	519.648
98.38	517.687
98.28	554.437
98.18	555.552
98.08	496.053
97.98	457.588
97.88	482.273
97.78	517.842
97.68	544.533
97.58	529.612
97.48	584.679
97.38	553.977
97.28	524.455
97.18	535.589
97.08	554.062
96.98	552.571
96.88	520.518
96.78	570.803
96.68	545.933
96.58	494.403
96.48	471.123
96.38	510.469
96.28	548.855
96.18	570.458
96.08	524.355
95.98	443.347
95.88	528.736
95.78	533.608
95.68	497.154
95.58	499.255
95.48	536.089
95.38	590.981
95.28	609.329
95.18	572.794
95.08	549.2
