A	B
Binding Energy (E)	
eV	Counts / s
298.08	4395.1
297.98	4357.13
297.88	4139.74
297.78	4154.48
297.68	4275.62
297.58	4153.94
297.48	4108.67
297.38	4174.09
297.28	4056.3
297.18	4002.62
297.08	3961.51
296.98	3813.91
296.88	3826.5
296.78	3603.69
296.68	3542.53
296.58	3599.05
296.48	3437.3
296.38	3343.46
296.28	3435.74
296.18	3507.75
296.08	3408.51
295.98	3278.32
295.88	3092.37
295.78	3240.59
295.68	3129.19
295.58	3091.94
295.48	2980.25
295.38	2978.3
295.28	3012.48
295.18	2996.8
295.08	2902.42
294.98	2908.32
294.88	2796.5
294.78	2738.36
294.68	2843.93
294.58	2764.95
294.48	2658.54
294.38	2595.64
294.28	2590.01
294.18	2456.24
294.08	2506.61
293.98	2501.36
293.88	2372.49
293.78	2271.92
293.68	2362.43
293.58	2217.75
293.48	2219.23
293.38	2161.09
293.28	2132.08
293.18	1966.16
293.08	1935.83
292.98	2001.31
292.88	1767.29
292.78	1795.12
292.68	1738.56
292.58	1727.92
292.48	1697.63
292.38	1669.03
292.28	1638.5
292.18	1510.31
292.08	1544.01
291.98	1541.32
291.88	1492.99
291.78	1306.33
291.68	1187.62
291.58	1355.89
291.48	1391.82
291.38	1292.26
291.28	1172.56
291.18	1140.09
291.08	1146.94
290.98	1184.43
290.88	1157.85
290.78	1161.48
290.68	1089.12
290.58	988.986
290.48	959.224
290.38	971.469
290.28	928.151
290.18	925.41
290.08	936.214
289.98	905.402
289.88	789.476
289.78	837.045
289.68	741.717
289.58	724.53
289.48	757.723
289.38	733.864
289.28	808.844
289.18	837.515
289.08	853.992
288.98	851.781
288.88	866.397
288.78	925.98
288.68	1112.83
288.58	1274.74
288.48	1487.11
288.38	1718.72
288.28	2179.22
288.18	2713.85
288.08	3587.41
287.98	4470.55
287.88	5912.96
287.78	7632.15
287.68	9271.66
287.58	11012.1
287.48	13182.8
287.38	15243.6
287.28	16501.8
287.18	17030.9
287.08	17156.3
286.98	16644.2
286.88	15154.2
286.78	13442.3
286.68	11722.1
286.58	9741.06
286.48	7852.1
286.38	6251.39
286.28	5359.31
286.18	4872.44
286.08	4603.16
285.98	4797.23
285.88	5455.35
285.78	6347.73
285.68	7560.01
285.58	8762.28
285.48	10238.3
285.38	11824.5
285.28	13726.1
285.18	15135.9
285.08	16270.4
284.98	17430.6
284.88	18462.5
284.78	19094.5
284.68	19668.4
284.58	20417.7
284.48	20764.8
284.38	21570.7
284.28	23800.8
284.18	25723.8
284.08	27655.6
283.98	30229
283.88	33241.6
283.78	35778.7
283.68	38367.5
283.58	40515.7
283.48	42411.3
283.38	43799.2
283.28	44100.7
283.18	44362.8
283.08	43022.6
282.98	41187.2
282.88	38466.7
282.78	34743.8
282.68	30715.6
282.58	26713.7
282.48	21989
282.38	18019.3
282.28	14204.4
282.18	10931.5
282.08	8845.19
281.98	6462.62
281.88	4954.12
281.78	3779.37
281.68	2703.53
281.58	2165.58
281.48	1714.42
281.38	1308.2
281.28	1119.02
281.18	1033.74
281.08	888.075
280.98	810.504
280.88	719.268
280.78	677.421
280.68	653.211
280.58	655.682
280.48	662.545
280.38	587.485
280.28	593.007
280.18	574.72
280.08	544.618
279.98	548.269
279.88	598.079
279.78	578.481
279.68	483.984
279.58	519.738
279.48	532.253
279.38	566.857
279.28	516.016
279.18	474.34
279.08	491.557
