A	B
Binding Energy (E)	
eV	Counts / s
545.08	9074.02
544.98	9092.18
544.88	9233.77
544.78	8992.18
544.68	9076.41
544.58	9121.7
544.48	9004.59
544.38	9088.32
544.28	8666.92
544.18	8788.4
544.08	9002.77
543.98	8858.93
543.88	8445.11
543.78	8382.32
543.68	8330.96
543.58	8396.61
543.48	8268.65
543.38	8076.97
543.28	8247.4
543.18	8246.91
543.08	8217.13
542.98	8066.94
542.88	7767.39
542.78	7880.5
542.68	7726
542.58	7984.94
542.48	7795.35
542.38	7663.55
542.28	7671.77
542.18	7457.42
542.08	7385.79
541.98	7125.56
541.88	7143.49
541.78	7266.57
541.68	7064.28
541.58	7169.01
541.48	7103.3
541.38	7012.24
541.28	7081.17
541.18	6850.34
541.08	6779.79
540.98	6811.44
540.88	6825.44
540.78	6814.3
540.68	6987.16
540.58	6798.82
540.48	6636.72
540.38	6771.38
540.28	6814.14
540.18	6466.07
540.08	6451.75
539.98	6382.57
539.88	6272
539.78	6297.94
539.68	6252.57
539.58	6210.85
539.48	5984.28
539.38	5913.73
539.28	6093.65
539.18	6072.81
539.08	6036.57
538.98	5991.96
538.88	5758.16
538.78	5792.66
538.68	5739.08
538.58	5744.93
538.48	5918.44
538.38	5775.55
538.28	6009.31
538.18	6114.07
538.08	5833.09
537.98	5850.59
537.88	6084.38
537.78	5906.9
537.68	5832.55
537.58	5917.84
537.48	5909.67
537.38	5947.79
537.28	5985.43
537.18	6132.72
537.08	5994.32
536.98	5845.24
536.88	5460.95
536.78	5586.19
536.68	5554.14
536.58	5472.76
536.48	5411.53
536.38	5563.01
536.28	5480.38
536.18	5469.37
536.08	5368.13
535.98	5331.79
535.88	5090.82
535.78	5137.69
535.68	5196.53
535.58	5060.16
535.48	4962.8
535.38	5092.36
535.28	5125.27
535.18	5098.36
535.08	5185.89
534.98	5066.93
534.88	5160.05
534.78	5176.55
534.68	5235.33
534.58	5252.42
534.48	5446.09
534.38	5605.04
534.28	5597.86
534.18	5692.93
534.08	5561.6
533.98	5749.72
533.88	5969.13
533.78	6259.18
533.68	6695.77
533.58	7300.49
533.48	7884.08
533.38	9206.58
533.28	10546.7
533.18	11944.8
533.08	14280.2
532.98	16924.5
532.88	19382.8
532.78	22975.4
532.68	26931.2
532.58	30618.5
532.48	34940
532.38	38477.8
532.28	41650.9
532.18	44993.7
532.08	46427.4
531.98	47675.6
531.88	47644.7
531.78	46683.1
531.68	45122.6
531.58	42923.2
531.48	40828.1
531.38	38597.1
531.28	37208.3
531.18	37160.4
531.08	38099.8
530.98	39114.2
530.88	41255.8
530.78	42620.6
530.68	44992.3
530.58	47329.9
530.48	48230
530.38	47847.3
530.28	46209.2
530.18	43440.8
530.08	39746.1
529.98	35971
529.88	31375.5
529.78	26107.7
529.68	21434.4
529.58	17261.9
529.48	14287.5
529.38	11927.5
529.28	9750
529.18	8150.67
529.08	7432.15
528.98	6924.87
528.88	6352.42
528.78	6128.13
528.68	5639.87
528.58	5567.92
528.48	5456.94
528.38	5221.45
528.28	5192.22
528.18	5277.33
528.08	5266.26
527.98	5372.11
527.88	5128.49
527.78	5000.87
527.68	5051.7
527.58	4901.49
527.48	4781.79
527.38	5071.83
527.28	4998.99
527.18	4838.78
527.08	4803.37
526.98	4803.98
526.88	4775.12
526.78	4706.75
526.68	4955.15
526.58	4937.31
526.48	4795.48
526.38	4621.14
526.28	4578.55
526.18	4553.99
526.08	4479.56
525.98	4849.07
525.88	4709.92
525.78	4778.06
525.68	4727.81
525.58	4593.02
525.48	4630.88
525.38	4673.39
525.28	4821.23
525.18	4812.58
525.08	4828.24
