A	B
Binding Energy (E)	
eV	Counts / s
110.08	554.017
109.98	495.378
109.88	455.797
109.78	435.179
109.68	441.402
109.58	450.97
109.48	505.742
109.38	511.64
109.28	456.167
109.18	450.535
109.08	472.039
108.98	473.805
108.88	441.432
108.78	442.727
108.68	444.338
108.58	482.608
108.48	447.954
108.38	447.554
108.28	486.9
108.18	530.862
108.08	495.283
107.98	469.378
107.88	486.059
107.78	459.989
107.68	472.314
107.58	468.758
107.48	471.143
107.38	522.144
107.28	511.234
107.18	464.306
107.08	492.307
106.98	475.47
106.88	480.957
106.78	503.987
106.68	494.653
106.58	456.278
106.48	457.578
106.38	481.157
106.28	473.394
106.18	483.218
106.08	528.641
105.98	481.157
105.88	467.552
105.78	478.471
105.68	460.114
105.58	506.573
105.48	483.799
105.38	522.279
105.28	472.069
105.18	491.892
105.08	472.264
104.98	448.034
104.88	488.595
104.78	495.493
104.68	452.316
104.58	435.889
104.48	480.077
104.38	487.845
104.28	488.735
104.18	474.96
104.08	443.057
103.98	473.93
103.88	472.464
103.78	471.213
103.68	478.241
103.58	513.495
103.48	495.128
103.38	500.305
103.28	526.256
103.18	508.728
103.08	470.823
102.98	450.15
102.88	486.745
102.78	466.302
102.68	442.302
102.58	438.841
102.48	471.679
102.38	482.668
102.28	519.048
102.18	490.631
102.08	490.331
101.98	519.183
101.88	443.803
101.78	469.378
101.68	458.979
101.58	471.729
101.48	465.511
101.38	456.433
101.28	479.762
101.18	522.344
101.08	494.813
100.98	520.678
100.88	533.799
100.78	503.346
100.68	506.868
100.58	523.424
100.48	502.826
100.38	519.808
100.28	543.753
100.18	525.85
100.08	526.471
99.98	541.126
99.88	530.742
99.78	506.403
99.68	523.469
99.58	488.005
99.48	519.188
99.38	484.104
99.28	481.853
99.18	500.985
99.08	472.409
98.98	458.238
98.88	539.141
98.78	531.167
98.68	514.601
98.58	520.398
98.48	473.895
98.38	466.096
98.28	487.71
98.18	483.018
98.08	470.233
97.98	485.064
97.88	438.791
97.78	436.645
97.68	448.294
97.58	423.454
97.48	474.46
97.38	496.183
97.28	498.184
97.18	494.883
97.08	502.021
96.98	493.142
96.88	461.004
96.78	398.059
96.68	478.326
96.58	505.222
96.48	494.938
96.38	505.612
96.28	523.074
96.18	512.55
96.08	480.202
95.98	525.4
95.88	534.014
95.78	490.386
95.68	490.561
95.58	492.177
95.48	449.63
95.38	470.093
95.28	487.62
95.18	471.399
95.08	468.422
