A	B
Binding Energy (E)	
eV	Counts / s
298.08	4789.61
297.98	4845.51
297.88	4827.14
297.78	4685.5
297.68	4670.16
297.58	4600
297.48	4534.05
297.38	4456.9
297.28	4443.28
297.18	4159.89
297.08	4207.6
296.98	4358.18
296.88	4153.55
296.78	4182.8
296.68	3910.74
296.58	3837.61
296.48	3768.53
296.38	3687.53
296.28	3743.64
296.18	3606.64
296.08	3623.58
295.98	3422.26
295.88	3318.05
295.78	3512.88
295.68	3538.24
295.58	3594.8
295.48	3468.67
295.38	3465.67
295.28	3176.23
295.18	3151.64
295.08	3216.26
294.98	3125.72
294.88	3025.64
294.78	3017.24
294.68	2906.46
294.58	2836.08
294.48	2855.5
294.38	2797.95
294.28	2795.09
294.18	2730.63
294.08	2590.86
293.98	2615.44
293.88	2511.03
293.78	2504.24
293.68	2330.24
293.58	2279.63
293.48	2315.45
293.38	2247.82
293.28	2393.82
293.18	2346.01
293.08	2281.35
292.98	2176.32
292.88	1950.86
292.78	2006.72
292.68	2024.29
292.58	1905.36
292.48	1824.99
292.38	1790.61
292.28	1860.11
292.18	1676
292.08	1640.92
291.98	1656.66
291.88	1551.25
291.78	1505.02
291.68	1384.85
291.58	1361.56
291.48	1411.15
291.38	1344.63
291.28	1286.09
291.18	1207.14
291.08	1198.11
290.98	1273.43
290.88	1169.86
290.78	1105.59
290.68	1067.87
290.58	1105.36
290.48	1021.73
290.38	876.08
290.28	1005.01
290.18	978.131
290.08	976.03
289.98	1002.16
289.88	1006.04
289.78	890.396
289.68	884.294
289.58	885.354
289.48	805.732
289.38	790.886
289.28	820.818
289.18	835.754
289.08	865.606
288.98	963.225
288.88	893.617
288.78	959.814
288.68	1114.72
288.58	1259.47
288.48	1494.13
288.38	1841.09
288.28	2317.86
288.18	3175.93
288.08	4285.93
287.98	5613.53
287.88	7182.39
287.78	9314.97
287.68	11441.1
287.58	13855.8
287.48	16343.8
287.38	18298.6
287.28	19997.3
287.18	20720.9
287.08	20267.3
286.98	18986.8
286.88	17219.9
286.78	14615.4
286.68	12288.4
286.58	9790.46
286.48	7643.91
286.38	6182.1
286.28	5382.59
286.18	4927.21
286.08	4900.36
285.98	5497.89
285.88	6402.4
285.78	7457.36
285.68	8885.64
285.58	10580.6
285.48	12633.4
285.38	14166.9
285.28	16022.4
285.18	17765
285.08	19262
284.98	20044.5
284.88	21575.4
284.78	22109.5
284.68	22518.4
284.58	23296.3
284.48	23914.6
284.38	24722.7
284.28	26736.7
284.18	29595.8
284.08	31879.7
283.98	34951
283.88	38034
283.78	41059.8
283.68	44035.3
283.58	46494.8
283.48	48322.6
283.38	49384.8
283.28	49072.5
283.18	48122.1
283.08	46848.2
282.98	44071.3
282.88	40588.9
282.78	35986.4
282.68	30919.4
282.58	25757.9
282.48	20816.6
282.38	16925.9
282.28	12797
282.18	9894.35
282.08	7705.34
281.98	5556.61
281.88	4117.98
281.78	3263.88
281.68	2617.44
281.58	1982.23
281.48	1547.06
281.38	1291.57
281.28	1157.32
281.18	951.05
281.08	903.071
280.98	857.233
280.88	832.683
280.78	709.634
280.68	646.509
280.58	619.808
280.48	645.688
280.38	647.329
280.28	639.406
280.18	604.382
280.08	607.123
279.98	567.567
279.88	578.651
279.78	592.257
279.68	562.985
279.58	547.639
279.48	577.581
279.38	577.421
279.28	528.872
279.18	565.426
279.08	580.232
