A	B
Binding Energy (E)	
eV	Counts / s
545.08	10187.4
544.98	10455.8
544.88	10362
544.78	10249.9
544.68	10312.9
544.58	9865.06
544.48	9929.86
544.38	10202.9
544.28	9882.8
544.18	9666.12
544.08	9689.61
543.98	9516.93
543.88	9402.19
543.78	9596.28
543.68	9519.24
543.58	9278.86
543.48	9210.02
543.38	9225.2
543.28	9071.99
543.18	9208.55
543.08	9037.71
542.98	9031.63
542.88	8879.19
542.78	8772.86
542.68	8698.46
542.58	8592.16
542.48	8587
542.38	8365.8
542.28	8309.51
542.18	8296.62
542.08	7965.22
541.98	7878.97
541.88	7693.2
541.78	7710.98
541.68	8032.99
541.58	7945.94
541.48	7907.27
541.38	8026.61
541.28	7897
541.18	7734.72
541.08	7759.17
540.98	7790.47
540.88	7593.7
540.78	7715.7
540.68	7627.35
540.58	7736.48
540.48	7381.36
540.38	7220.27
540.28	7329.55
540.18	7406.16
540.08	7232.85
539.98	7245.57
539.88	7088.8
539.78	7053.24
539.68	7004.87
539.58	6877.25
539.48	6709.84
539.38	6719.13
539.28	6632.03
539.18	6559.57
539.08	6422.2
538.98	6434.81
538.88	6492.3
538.78	6514.39
538.68	6408.95
538.58	6369.36
538.48	6362.88
538.38	6292.94
538.28	6550.16
538.18	6711.35
538.08	6632.33
537.98	6474.41
537.88	6642.48
537.78	6607.19
537.68	6469.25
537.58	6415.87
537.48	6333.25
537.38	6429.09
537.28	6349.73
537.18	6255.02
537.08	6432.68
536.98	6299.29
536.88	6129.8
536.78	6187.55
536.68	6033.21
536.58	6035.94
536.48	5834.57
536.38	5574.63
536.28	5585.13
536.18	5831.02
536.08	5956.54
535.98	5754.57
535.88	5684.03
535.78	5588.38
535.68	5611.63
535.58	5568.96
535.48	5590.46
535.38	5724.77
535.28	5801.48
535.18	5648.25
535.08	5506.85
534.98	5757.7
534.88	5595.8
534.78	5681.02
534.68	5889.91
534.58	5920.83
534.48	5867
534.38	5872.51
534.28	5948.88
534.18	5945.77
534.08	6281.05
533.98	6522.86
533.88	6676.31
533.78	7027.51
533.68	7698.54
533.58	8213.65
533.48	9382.53
533.38	10424
533.28	11468.6
533.18	13483.3
533.08	15879.8
532.98	18195.5
532.88	21555.6
532.78	25224.9
532.68	28948
532.58	32983.3
532.48	37098.4
532.38	40602.2
532.28	43127.5
532.18	45814.7
532.08	48149.3
531.98	49078.3
531.88	48727
531.78	47336.4
531.68	45968.3
531.58	43879.9
531.48	42844.8
531.38	41599
531.28	40517.4
531.18	41483.9
531.08	43240.7
530.98	46147.4
530.88	49097.5
530.78	51730.6
530.68	54325.2
530.58	56254.1
530.48	57072.7
530.38	56317.5
530.28	53490.9
530.18	50221
530.08	45566.4
529.98	39905.5
529.88	34320.9
529.78	28540.3
529.68	23006.9
529.58	18728
529.48	15197.1
529.38	12818.8
529.28	10594.9
529.18	8977.17
529.08	8001.04
528.98	7107.69
528.88	6621.41
528.78	6436.6
528.68	5981.91
528.58	6004.03
528.48	6037.2
528.38	5859.57
528.28	5775.27
528.18	5719.8
528.08	5681.41
527.98	5723.36
527.88	5667.1
527.78	5538.2
527.68	5580.24
527.58	5458.23
527.48	5298.55
527.38	5355.71
527.28	5306.1
527.18	5401.09
527.08	5342.11
526.98	5406.01
526.88	5400.91
526.78	5295.79
526.68	5386.99
526.58	5339.89
526.48	5485.84
526.38	5318.28
526.28	5366.58
526.18	5162.61
526.08	5325.02
525.98	5285.15
525.88	5277.76
525.78	5230.51
525.68	5157.02
525.58	5118.64
525.48	5164.55
525.38	5255.18
525.28	5284.77
525.18	5198.9
525.08	5250.62
