A	B
Binding Energy (E)	
eV	Counts / s
110.08	568.042
109.98	560.029
109.88	553.792
109.78	541.702
109.68	532.168
109.58	556.232
109.48	571.844
109.38	535.704
109.28	533.433
109.18	567.692
109.08	593.402
108.98	511.73
108.88	527.656
108.78	531.973
108.68	547.679
108.58	550.885
108.48	543.978
108.38	573.93
108.28	535.884
108.18	529.727
108.08	520.893
107.98	511.029
107.88	526.841
107.78	525.84
107.68	531.383
107.58	519.948
107.48	507.413
107.38	526.311
107.28	519.423
107.18	568.557
107.08	527.736
106.98	517.352
106.88	573.92
106.78	533.558
106.68	542.142
106.58	492.922
106.48	508.413
106.38	536.525
106.28	503.626
106.18	481.258
106.08	481.758
105.98	487.54
105.88	525.41
105.78	490.386
105.68	498.214
105.58	526.205
105.48	522.624
105.38	489.241
105.28	513.055
105.18	532.923
105.08	513.295
104.98	515.976
104.88	549.225
104.78	484.754
104.68	478.546
104.58	480.432
104.48	495.483
104.38	527.966
104.28	562.445
104.18	519.493
104.08	513.235
103.98	559.669
103.88	553.136
103.78	500.615
103.68	532.053
103.58	519.323
103.48	507.568
103.38	585.104
103.28	527.531
103.18	513.025
103.08	565.266
102.98	549
102.88	559.444
102.78	591.582
102.68	594.303
102.58	583.088
102.48	565.131
102.38	643.803
102.28	632.978
102.18	643.232
102.08	686.174
101.98	730.207
101.88	780.952
101.78	799.905
101.68	832.918
101.58	887.34
101.48	949.79
101.38	1032.25
101.28	1072.23
101.18	1254.46
101.08	1343.93
100.98	1513.1
100.88	1664.9
100.78	1864.52
100.68	1983.53
100.58	2077.86
100.48	2273.81
100.38	2312.94
100.28	2597.71
100.18	2673.41
100.08	2663.59
99.98	2676.54
99.88	2643.47
99.78	2574.77
99.68	2329.22
99.58	2100.42
99.48	1843.41
99.38	1548.09
99.28	1327.64
99.18	1145.23
99.08	943.908
98.98	838.07
98.88	842.452
98.78	724.605
98.68	635.204
98.58	573.785
98.48	593.727
98.38	608.593
98.28	534.809
98.18	545.908
98.08	550.71
97.98	506.368
97.88	508.829
97.78	510.324
97.68	535.359
97.58	518.818
97.48	506.067
97.38	518.753
97.28	564.056
97.18	524.04
97.08	586.29
96.98	548.935
96.88	527.226
96.78	552.126
96.68	538.3
96.58	541.537
96.48	526.356
96.38	548.659
96.28	567.757
96.18	588.906
96.08	552.056
95.98	526.566
95.88	540.601
95.78	565.606
95.68	573.274
95.58	547.989
95.48	537.175
95.38	532.163
95.28	517.792
95.18	540.736
95.08	512.23
