Gap	Voltage	Field
bar*mm	kV	kV/mm
0.00224	0.43357	193.39596
0.00254	0.39382	155.13205
0.00354	0.37315	105.45615
0.00339	0.33407	98.44728
0.00566	0.36367	64.19775
0.00697	0.38999	55.92347
0.00801	0.36417	45.47977
0.00933	0.39587	42.44474
0.00919	0.34007	36.98643
0.01413	0.43078	30.48291
0.01645	0.39133	23.78671
0.01692	0.48145	28.44749
0.02054	0.48852	23.77881
0.02528	0.46265	18.30008
0.02495	0.5536	22.19059
0.03528	0.62772	17.79421
0.03782	0.70124	18.5426
0.04785	0.71165	14.87143
0.05651	0.76303	13.50179
0.06141	0.78466	12.77677
0.0756	0.81853	10.82773
