Gap	Voltage	Field
bar*mm	kV	kV/mm
462.66357	991.66025	2.14337
384.71948	883.60533	2.29675
346.77682	814.96494	2.35011
305.41392	717.60473	2.34961
262.88989	646.78773	2.4603
223.67908	569.60152	2.54651
203.96043	531.46516	2.60573
183.82899	478.92475	2.60527
163.7896	431.59933	2.63508
152.8264	402.66364	2.63478
142.59701	375.66789	2.63447
131.5363	354.59351	2.69578
122.71594	319.49221	2.60351
111.89779	298.10134	2.66405
103.20932	274.91759	2.66369
94.09851	247.72738	2.63264
80.99679	223.28034	2.75666
76.45632	213.1961	2.78847
71.33564	196.60604	2.75607
66.56081	183.425	2.75575
57.27334	150.65465	2.63045
52.20844	129.59188	2.4822
45.46906	123.78088	2.72231
40.50538	106.48559	2.62892
35.2721	98.2278	2.78486
30.71095	87.50761	2.84939
28.65657	82.59458	2.88222
25.24506	77.97624	3.08877
23.55426	71.90844	3.05288
21.47688	66.31923	3.08794
20.26941	60.4494	2.9823
18.69556	55.74817	2.98189
16.46559	49.08819	2.98126
15.36481	46.87343	3.0507
14.41969	44.2407	3.06807
12.05645	36.76567	3.04946
10.25864	32.75638	3.19305
9.03579	29.52096	3.26711
8.33311	26.2928	3.15522
7.25584	23.69694	3.26591
6.10274	20.62902	3.38029
